id,label_en
Q83666,« القائم بالحق » محمد بن زيد
Q83738,عُمَرْ بِنْ ٱلْخَطَّابْ
Q83826,عمر بن الخطاب - خلیفه دوم از خلفای راشدین
Q83943,محمد بن حنفیه (محمّد الأكبر (أبي القاسم
Q83961,Muawiyah son of Bakr  معاویه
Q83977,Humaisi \ Umaisi  Umaisi ?أدد
Q84478,علي السجاد
Q84482,عبد الله
Q84484,سليمان
Q85009,القاسم بن الحسن‎
Q85037,سكينة‎
Q85047,فاطمة بنت حسين
Q85091,Abu Hashim ben Mohammad Hanifa  ابوهاشم عبداله بن محمد حنفیه
Q85123,Samsama son of Muawiyah  صمصمه
Q85129,Salaman  أدد
Q85415,أبو جعفر عبد الله المنصور
Q85417,أبو العباس عبد الله السفاح
Q85419,إبراهيم
Q85421,موسى
Q85423,أم عيسى
Q85425,لبابة
Q85429,الحسن
Q85431,إسحاق
Q86870,Shahr Banu  بنت الإمبراطور فلافيوس موريسيوس تيبيريوس أجوستوس
Q86910,Hermisdas  بن كسرى خسرو الأول أنوشيروان
Q86921,Khosrau I (Anushirvan)  بن كسرى قباد الأول
Q86947,Peroz  بن كسرى يزدجرد الثاني
Q86963,Yazdegerd  بن كسرى بهرام الخامس
Q86977,Bahrám Gur  بن كسرى يزدجرد الأول
Q86997,Yazdegerd  بن كسرى شابور الثالث
Q87017,Shapur  بن كسرى شابور الثاني
Q87061,Hormizd II-  بن كسرى نرسي
Q88281,الملك أرتازركسيس- أردشير الثاني  بن الملك داريوس الثاني
Q88317,الملك داريوس الثاني  بن الملك أرتازركسيس- أردشير الأول
Q88545,کوروش
Q90781,الإمام علي (ع)
Q93961,محياة بنت امرئ القيس بن عدي
Q93976,السيدة زينب (ع)
Q93980,أسماء  بنت عميس
Q94120,فاطمة بنت الـحسن بن علي‎  بنت الإمام أمير المؤمنين الحسن
Q94138,القاسم بن الحسن‎
Q94147,شهربانو بنت كسرى يزدجرد الثالث
Q94159,رباب بنت امرئ القيس بن عدى بن أوس
Q94303,عبد الله المحض  الحسني
Q94323,الإمام محمد الباقر  بن الإمام علي زين العابدين
Q94325,عبدالله بن علی بن حسین
Q94361,علي الأصغر
Q94391,Sayyidna 'Amar bin Abdullaah bin Sayyidna Muslim  عَمَرو بن عبداللہ بن مسلم بن عقیل
Q94545,إدريس الأكبر
