qid,property_count,properties,restored_from_xml,entity_type
Q29678,1,P39,False,unlabeled
Q29682,1,P39,False,unlabeled
Q29686,1,P39,False,unlabeled
Q29690,1,P39,False,unlabeled
Q29694,1,P39,False,unlabeled
Q29698,1,P39,False,unlabeled
Q29706,1,P39,False,unlabeled
Q29714,1,P39,False,unlabeled
Q29722,1,P39,False,unlabeled
Q29730,1,P39,False,unlabeled
Q29734,1,P39,False,unlabeled
Q29738,1,P39,False,unlabeled
Q29742,1,P39,False,unlabeled
Q29746,1,P39,False,unlabeled
Q29750,1,P39,False,unlabeled
Q29754,1,P39,False,unlabeled
Q29906,1,P39,False,unlabeled
Q29910,1,P39,False,unlabeled
Q29914,1,P39,False,unlabeled
Q29918,1,P39,False,unlabeled
Q29922,1,P39,False,unlabeled
Q29931,1,P39,False,unlabeled
Q29935,1,P39,False,unlabeled
Q30036,1,P39,False,unlabeled
Q30040,1,P39,False,unlabeled
Q30072,1,P39,False,unlabeled
Q30076,1,P39,False,unlabeled
Q30128,1,P39,False,unlabeled
Q30132,1,P39,False,unlabeled
Q30136,1,P39,False,unlabeled
Q30140,1,P39,False,unlabeled
Q30144,1,P39,False,unlabeled
Q30148,1,P39,False,unlabeled
Q30212,1,P39,False,unlabeled
Q30229,1,P39,False,unlabeled
Q30237,1,P39,False,unlabeled
Q30241,1,P39,False,unlabeled
Q30281,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30285,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30289,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30293,1,P39,False,unlabeled
Q30301,1,P39,False,unlabeled
Q30305,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30309,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30313,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30317,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30321,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30325,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30329,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30333,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30337,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30341,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30345,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30349,1,P39,False,unlabeled
Q30353,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30361,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30365,1,P39,False,unlabeled
Q30558,1,P39,False,unlabeled
Q30763,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30783,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30787,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30796,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30800,1,P39,False,unlabeled
Q30808,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30816,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30820,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30824,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30828,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30832,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30836,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30840,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30844,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30848,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30852,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30856,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30864,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30868,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30876,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30880,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30884,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30888,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30892,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30896,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30900,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30904,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30917,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30921,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30925,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30929,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q30933,10,"P5,P15,P46,P55,P63,P39,P42,P20,P11,P60",True,restored
Q3098,1,P39,False,unlabeled
Q31022,1,P39,False,unlabeled
Q31130,1,P39,False,unlabeled
Q31331,1,P39,False,unlabeled
Q31372,1,P39,False,unlabeled
Q31416,1,P39,False,unlabeled
Q31456,1,P39,False,unlabeled
Q31484,1,P39,False,unlabeled
Q31488,1,P39,False,unlabeled
Q31500,1,P39,False,unlabeled
Q31520,1,P39,False,unlabeled
Q31528,1,P39,False,unlabeled
Q31545,1,P39,False,unlabeled
Q31589,1,P39,False,unlabeled
Q31629,1,P39,False,unlabeled
Q3164,1,P39,False,unlabeled
Q31673,1,P39,False,unlabeled
Q31717,1,P39,False,unlabeled
Q31761,1,P39,False,unlabeled
Q31805,1,P39,False,unlabeled
Q31849,1,P39,False,unlabeled
Q31938,1,P39,False,unlabeled
Q31982,1,P39,False,unlabeled
Q32070,1,P39,False,unlabeled
Q32114,1,P39,False,unlabeled
Q32186,1,P39,False,unlabeled
Q1471,1,P39,False,unlabeled
Q1473,1,P39,False,unlabeled
Q1477,1,P39,False,unlabeled
Q1484,1,P39,False,unlabeled
Q1486,1,P39,False,unlabeled
Q1496,1,P39,False,unlabeled
Q1498,1,P39,False,unlabeled
Q38034,1,P39,False,unlabeled
Q38038,1,P39,False,unlabeled
Q38042,1,P39,False,unlabeled
Q38046,1,P39,False,unlabeled
Q38050,1,P39,False,unlabeled
Q38054,1,P39,False,unlabeled
Q38058,1,P39,False,unlabeled
Q38062,1,P39,False,unlabeled
Q38066,1,P39,False,unlabeled
Q38074,1,P39,False,unlabeled
Q38086,1,P39,False,unlabeled
Q38094,1,P39,False,unlabeled
Q38106,1,P39,False,unlabeled
Q38111,1,P39,False,unlabeled
Q38119,1,P39,False,unlabeled
Q38127,1,P39,False,unlabeled
Q38150,1,P39,False,unlabeled
Q38178,1,P39,False,unlabeled
Q38190,1,P39,False,unlabeled
Q38194,1,P39,False,unlabeled
Q38218,1,P39,False,unlabeled
Q38242,1,P39,False,unlabeled
Q38246,1,P39,False,unlabeled
Q38250,1,P39,False,unlabeled
Q38254,1,P39,False,unlabeled
Q38258,1,P39,False,unlabeled
Q38262,1,P39,False,unlabeled
Q38266,1,P39,False,unlabeled
Q38270,1,P39,False,unlabeled
Q38290,1,P39,False,unlabeled
Q38331,1,P39,False,unlabeled
Q38335,1,P39,False,unlabeled
Q38339,1,P39,False,unlabeled
Q38347,1,P39,False,unlabeled
Q38367,1,P39,False,unlabeled
Q38379,1,P39,False,unlabeled
Q38391,1,P39,False,unlabeled
Q38399,1,P39,False,unlabeled
Q38407,1,P39,False,unlabeled
Q38411,1,P39,False,unlabeled
Q38419,1,P39,False,unlabeled
Q38423,1,P39,False,unlabeled
Q38427,1,P39,False,unlabeled
Q38435,1,P39,False,unlabeled
Q38443,1,P39,False,unlabeled
Q38451,1,P39,False,unlabeled
Q38455,1,P39,False,unlabeled
Q38459,1,P39,False,unlabeled
Q38467,1,P39,False,unlabeled
Q38479,1,P39,False,unlabeled
Q38483,1,P39,False,unlabeled
Q38487,1,P39,False,unlabeled
Q38491,1,P39,False,unlabeled
Q38495,1,P39,False,unlabeled
Q38499,1,P39,False,unlabeled
Q38511,1,P39,False,unlabeled
Q38515,1,P39,False,unlabeled
Q38523,1,P39,False,unlabeled
Q38527,1,P39,False,unlabeled
Q38531,1,P39,False,unlabeled
Q38535,1,P39,False,unlabeled
Q38547,1,P39,False,unlabeled
Q38551,1,P39,False,unlabeled
Q38567,1,P39,False,unlabeled
Q38571,1,P39,False,unlabeled
Q38575,1,P39,False,unlabeled
Q38579,1,P39,False,unlabeled
Q38583,1,P39,False,unlabeled
Q38587,1,P39,False,unlabeled
Q38591,1,P39,False,unlabeled
Q38595,1,P39,False,unlabeled
Q38599,1,P39,False,unlabeled
Q38607,1,P39,False,unlabeled
Q38611,1,P39,False,unlabeled
Q38619,1,P39,False,unlabeled
Q38623,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q38627,1,P39,False,unlabeled
Q38635,1,P39,False,unlabeled
Q38651,1,P39,False,unlabeled
Q38655,1,P39,False,unlabeled
Q38663,1,P39,False,unlabeled
Q38687,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q38711,1,P39,False,unlabeled
Q38715,1,P39,False,unlabeled
Q38719,1,P39,False,unlabeled
Q38723,1,P39,False,unlabeled
Q38727,1,P39,False,unlabeled
Q38731,1,P39,False,unlabeled
Q38735,1,P39,False,unlabeled
Q38739,1,P39,False,unlabeled
Q38747,1,P39,False,unlabeled
Q38751,1,P39,False,unlabeled
Q38755,1,P39,False,unlabeled
Q38759,1,P39,False,unlabeled
Q38767,1,P39,False,unlabeled
Q38771,1,P39,False,unlabeled
Q38775,1,P39,False,unlabeled
Q38783,1,P39,False,unlabeled
Q38791,1,P39,False,unlabeled
Q38795,1,P39,False,unlabeled
Q38799,1,P39,False,unlabeled
Q38803,1,P39,False,unlabeled
Q38807,1,P39,False,unlabeled
Q38811,1,P39,False,unlabeled
Q38815,1,P39,False,unlabeled
Q38819,1,P39,False,unlabeled
Q38823,1,P39,False,unlabeled
Q38831,1,P39,False,unlabeled
Q38835,1,P39,False,unlabeled
Q38863,1,P39,False,unlabeled
Q38867,1,P39,False,unlabeled
Q38871,1,P39,False,unlabeled
Q38875,1,P39,False,unlabeled
Q38883,1,P39,False,unlabeled
Q38887,1,P39,False,unlabeled
Q38895,1,P39,False,unlabeled
Q38899,1,P39,False,unlabeled
Q38903,1,P39,False,unlabeled
Q38907,1,P39,False,unlabeled
Q38911,1,P39,False,unlabeled
Q38919,1,P39,False,unlabeled
Q38923,1,P39,False,unlabeled
Q38935,1,P39,False,unlabeled
Q38943,1,P39,False,unlabeled
Q38947,1,P39,False,unlabeled
Q38951,1,P39,False,unlabeled
Q38955,1,P39,False,unlabeled
Q38959,1,P39,False,unlabeled
Q38963,1,P39,False,unlabeled
Q38971,1,P39,False,unlabeled
Q38987,1,P39,False,unlabeled
Q38991,1,P39,False,unlabeled
Q38995,1,P39,False,unlabeled
Q38999,1,P39,False,unlabeled
Q39011,1,P39,False,unlabeled
Q39015,1,P39,False,unlabeled
Q39019,1,P39,False,unlabeled
Q39028,1,P39,False,unlabeled
Q39032,1,P39,False,unlabeled
Q39064,1,P39,False,unlabeled
Q39076,1,P39,False,unlabeled
Q39084,1,P39,False,unlabeled
Q39100,1,P39,False,unlabeled
Q39104,1,P39,False,unlabeled
Q39108,1,P39,False,unlabeled
Q39112,1,P39,False,unlabeled
Q39136,1,P39,False,unlabeled
Q39140,1,P39,False,unlabeled
Q39144,1,P39,False,unlabeled
Q39156,1,P39,False,unlabeled
Q39209,1,P39,False,unlabeled
Q39213,1,P39,False,unlabeled
Q39249,1,P39,False,unlabeled
Q39253,1,P39,False,unlabeled
Q39257,1,P39,False,unlabeled
Q39261,1,P39,False,unlabeled
Q39265,1,P39,False,unlabeled
Q39273,1,P39,False,unlabeled
Q39337,1,P39,False,unlabeled
Q39477,1,P39,False,unlabeled
Q39481,1,P39,False,unlabeled
Q39498,1,P39,False,unlabeled
Q39610,1,P39,False,unlabeled
Q39824,1,P39,False,unlabeled
Q4049,1,P39,False,unlabeled
Q4067,1,P39,False,unlabeled
