,id,label_en
98933,Q106833,سليمان
99007,Q106907,داعی کبیر - حسن بن زید - امام حسن مجتبی(ع)
99065,Q106965,محمد
99123,Q107023,موسى الثاني  الحسني
99151,Q107051,بن الإمام جعفر الصادق
99175,Q107075,سید ابو القاسم حمزه
99183,Q107083,الشريف إبراهيم المرتضى  بن الإمام موسى الكاظم
99235,Q107135,الشريف أبو الحسنيه أحمد الشعراني  بن أبي الحسن علي العريضي
99361,Q107261,عبيد الله الثاني
99418,Q107318,محمد  بن علي
99434,Q107334,منصور دوانیقی
99436,Q107336,الخليفة أبو العباس السفاح عبدالله  بن محمد
99582,Q107482,علي حيدرة
99623,Q107523,داود أمير مكة  الحسني
99633,Q107533,آمنه بنت عبدالله
99635,Q107535,داعی کبیر - حسن بن زید
99641,Q107541,بن الإمام جعفر الصادق
99663,Q107563,ابراهيم المجاب  الحسيني الهاشمي
99675,Q107575,Seyyed Abu Mohammad Qasim (8)  سید قاسم
99685,Q107585,موسى أبو سبحة
99689,Q107589,بن الإمام جعفر الصادق
99735,Q107635,الحسيني
99737,Q107637,الحسيني
99739,Q107639,الحسيني
99843,Q107743,ناصر کبیر یا النصیر الحق یا العطروش
99857,Q107757,علي المحدث أبو الحسين
99979,Q107879,المهدی
99987,Q107887,محمد المهدي
99989,Q107889,جعفر
99991,Q107891,عيسى
99993,Q107893,أسماء
100151,Q108051,سلام ابن مزوار
100183,Q108083,محمد المدني  الحسني
100261,Q108161,الحسيني الهاشمي
100272,Q108172,Seyyed Ahmad al-Arabi (9)  سید احمد اعرابی
100284,Q108184,إبراهيم المرتضى
100286,Q108186,الشريف أحمد الصالح  بن الشريف موسى أبي سبحة
100288,Q108188,بن الشريف موسى أبي سبحة
100290,Q108190,إبراهيم المرتضى
100292,Q108192,إبراهيم المرتضى
100294,Q108194,الحسين الأكبر
100296,Q108196,إبراهيم المرتضى
100298,Q108198,إبراهيم المرتضى
100300,Q108200,إبراهيم المرتضى
100304,Q108204,بن الإمام جعفر الصادق
100482,Q108382,داعی صفیر - چهارمین حاکم دولت علویان طبرستان
100488,Q108388,الناصر إلى الحق الحسن بن علي « الأطروش »
100513,Q108413,عبيد الله الثالث أبو علي
100643,Q108543,الخليفة موسى الهادي  بن المهدي
100645,Q108545,الخليفة هارون الرشيد  بن المهدي
100653,Q108553,الخيزران
100655,Q108555,موسى الهادي
100657,Q108557,هارون الرشيد
100659,Q108559,العباسة أو علية
100667,Q108567,سعد  بن تيم
100817,Q108717,عيسى
100863,Q108763,يحيى الزاهد  الحسني
100931,Q108831,محمد  الحسيني
100943,Q108843,سید محمد بن احمد اعرابی
100951,Q108851,إبراهيم المرتضى
100953,Q108853,إبراهيم المرتضى
100955,Q108855,إبراهيم المرتضى
100957,Q108857,إبراهيم المرتضى
100959,Q108859,الحسين الرضى
100961,Q108861,طاهر أبو الطيب
100963,Q108863,إبراهيم المرتضى
100965,Q108865,إبراهيم المرتضى
100967,Q108867,إبراهيم المرتضى
100969,Q108869,إبراهيم المرتضى
100971,Q108871,إبراهيم المرتضى
100973,Q108873,إبراهيم المرتضى
101176,Q109076,المهدي محمد بن الحسن الداعي
101196,Q109096,الأمير محمد الأشترأمير المدينة
101334,Q109234,زبيدة
101336,Q109236,محمد الأمين
101338,Q109238,مراجل الفارسية
101340,Q109240,عبد الله المأمون
101342,Q109242,ماردة أم ولد
101344,Q109244,محمد المعتصم بالله
101366,Q109266,كعب  بن سعد
101508,Q109408,حرمة
101548,Q109448,فاطمة بنت أحمد القرشية
101550,Q109450,عبد الله الجيلي  الحسني
101556,Q109456,يحي  الهاشمي
101630,Q109530,حسين  الحسيني
101644,Q109544,Seyyed Ismail  سید اسمعیل
101660,Q109560,إبراهيم المرتضى
101662,Q109562,إبراهيم المرتضى
101664,Q109564,الشريف أبو القاسم  بن الشريف محمود
101666,Q109566,محمد المحدث
101668,Q109568,إبراهيم المرتضى
101670,Q109570,إبراهيم المرتضى
101672,Q109572,إبراهيم المرتضى
101674,Q109574,إبراهيم المرتضى
101857,Q109757,الأمير النقيب محمد أبو علي
101983,Q109883,هارون الواثق بالله
101985,Q109885,جعفر المتوكل على الله
101987,Q109887,محمد
102017,Q109917,عمرو  بن كعب
102035,Q109935,معاویة بن یزید 3rd Umayyad Caliph
102139,Q110039,علي
102141,Q110041,علي
102163,Q110063,موسى الثالث
102169,Q110069,عيسى  الهاشمي
102231,Q110131,أحمد  الحسيني
102245,Q110145,Seyyed Mohammad  سید محمد
102259,Q110159,إبراهيم المرتضى
102261,Q110161,الشريف محمود  بن الشريف حسين الرضي
102263,Q110163,عبد الله  الحسيني
102411,Q110311,النقيب أحمد أبو عبد الله
102527,Q110427,محمد المهتدي بالله
102529,Q110429,أحمد المستعين بالله
102665,Q110565,أبي بكر
102667,Q110567,أبي بكر
102695,Q110595,أبي عبد الله الحسين الشهيربقضيب البان  الموصلي
102703,Q110603,حمزة  الوهاسي
102759,Q110659,محمود  الحسيني
102773,Q110673,Seyyed Jaffar  سید جعفر
102775,Q110675,سید محمد
102793,Q110693,بن الشريف حسين الرضي
102795,Q110695,بن الشريف حسين الرضي
102797,Q110697,إبراهيم المرتضى
102799,Q110699,لي ابن الدوليمية
103023,Q110923,أبو الحسين زيد ضياء الدين
103188,Q111088,الملك أرتازركسيس- أردشير الأول  بن الملك زركسيس الأول
103192,Q111092,الملك زركسيس الأول  بن الملك داريوس الأول
103198,Q111098,الأميرة أتوسّا  بنت الملك قورش الثاني العظيم
103200,Q111100,الملك داريوس الأول  بن الأمير هستاسبس
103204,Q111104,الملك قورش الثاني العظيم  بن قمبيز الأول
103206,Q111106,الأميرة كاسّاندان  بنت فارناسبس
103208,Q111108,الأمير هستاسبس  بن أرسامس
103210,Q111110,قمبيز الأول  بن قورش الأول
103212,Q111112,الأميرة ماندان  بنت الملك أستياجس
103214,Q111114,أرسامس  بن أريارامنس
103216,Q111116,قورش الأول  بن الملك تسيبس
103218,Q111118,الملك أستياجس  بن الملك سياخاريس
103220,Q111120,الملكة أرينيس  بنت الملك ألياتّيس الثاني
103222,Q111122,أريارامنس  بن الملك تيسبس
103224,Q111124,الملك تيسبس  بن الملك أخمينيس
103226,Q111126,الملك سياخاريس  بن الملك فراورتيس
103228,Q111128,الملك الياتّيس الثاني  بن الملك سادياتّيس
103234,Q111134,الملك أخمينيس
103236,Q111136,الملك فراورتيس  بن الملك ديوكيس
103238,Q111138,الملك سادياتّيس  بن الملك أرديس الثاني
103246,Q111146,الملك ديوكيس
103248,Q111148,الملك أرديس الثاني  بن الملك جيجس
103254,Q111154,الملك جيجس
103852,Q111752,بنت عبد الله
104153,Q112053,Muza  Bint Ibn Musa Banu Qasi ولي تطيلةا وشقة
104159,Q112059,موسى  بن قلند والي وشقة
104223,Q112123,عبد الله  بن محمد والي توليدو
104569,Q112469,مطرف  بن موسى والي وشقة
104593,Q112493,محمد آل الطويل  ابن عبد الملك والي وشقة
104595,Q112495,موسى  بن محمد والي وشقة
105274,Q113174,عبد الرحمن الناصر لدين الله  محمد بن الخليفة قرطبة
105358,Q113258,عبد الملك  بن موسى والي وشقة
106468,Q114368,أبو العاص آل الحكم  بن عبد الرحمن الخليفة قرطبة
108344,Q116244,أبو الوليد هشام  بن الحكم الخليفة قرطبة
108346,Q116246,بن الحكم
110360,Q118260,Zaida Isabel الأسد الملكة
