# GEDCOM ID to Wikibase QID Mapping
# Generated by repair_then_upload.py

# Properties
alternate_name	P6
birth_date	P7
burial_date	P9
child	P20
death_date	P8
father	P22
full_name	P5
gedcom_refn	P41
given_name	P3
husband	P18
instance_of	P39
marriage_date	P10
mother	P21
notes_page	P15
occupation	P12
parent_family	P16
residence	P13
sex	P11
source	P14
spouse	P42
spouse_family	P2
surname	P4
wife	P19

@I4432@	Q1253
@I4433@	Q1254
@I4434@	Q1255
@I4435@	Q1256
@I4438@	Q1258
@I4439@	Q1259
@I4440@	Q1260
@I4441@	Q1261
@I4442@	Q1262
@I4443@	Q1263
@I4444@	Q1264
@I4445@	Q1265
@I4446@	Q1266
@I4447@	Q1267
@I4450@	Q1268
@I4451@	Q1269
@I4452@	Q1270
@I4453@	Q1271
@I4454@	Q1272
@I4455@	Q1273
@I4456@	Q1274
@I4457@	Q1275
@I4458@	Q1276
@I4460@	Q1277
@I4462@	Q1278
@I4463@	Q1279
@I4464@	Q1280
@I4465@	Q1281
@I4466@	Q1282
@I4467@	Q1283
@I4468@	Q1284
@I4475@	Q1286
@I4476@	Q1341
@I4504@	Q3979
@I4552@	Q1344
@I4554@	Q1345
@I4562@	Q1350
@I4586@	Q3990
@I4666@	Q4001
@I4691@	Q4012
@I4745@	Q1411
@I4753@	Q4023
@I4837@	Q4034
@I4933@	Q4045
@I4@	Q283
@I5058@	Q4056
@I5093@	Q4078
@I5105@	Q4089
@I5117@	Q4100
@I5129@	Q4111
@I5141@	Q4122
@I5153@	Q4133
@I5165@	Q4144
@I5177@	Q4155
@I5189@	Q4166
@I529@	Q756
@I54001@	Q4238
@I5506@	Q1435
@I5518@	Q1436
@I5529@	Q1437
@I5541@	Q1438
@I5553@	Q1439
@I5566@	Q1440
@I5578@	Q1441
@I5590@	Q1442
@I5602@	Q1443
@I5614@	Q1444
@I5626@	Q1445
@I5638@	Q1446
@I5650@	Q1447
@I5662@	Q1448
@I5687@	Q1450
@I5699@	Q1451
@I5711@	Q1452
@I5723@	Q1453
@I5758@	Q1456
@I5770@	Q1457
@I577@	Q803
@I5781@	Q1458
@I5793@	Q1459
@I5806@	Q1460
@I580@	Q2721
@I5818@	Q1461
@I581@	Q2722
@I582@	Q2723
@I5830@	Q1462
@I583@	Q2724
@I5842@	Q1463
@I584@	Q2725
@I5854@	Q1473
@I585@	Q2726
@I5866@	Q1465
@I586@	Q2727
@I5878@	Q4989
@I587@	Q2728
@I588@	Q2729
@I5890@	Q1477
@I589@	Q2730
@I5902@	Q1468
@I590@	Q2731
@I5914@	Q1469
@I591@	Q2732
@I5927@	Q1470
@I592@	Q2733
@I593@	Q2734
@I594@	Q2735
@I5951@	Q1472
@I595@	Q2736
@I596@	Q2737
@I5975@	Q1474
@I597@	Q2738
@I5987@	Q1475
@I598@	Q2739
@I5999@	Q1476
@I599@	Q2740
@I5@	Q284
@I600@	Q2741
@I601@	Q2742
@I6023@	Q1478
@I602@	Q2743
@I6035@	Q1479
@I603@	Q2744
@I6048@	Q1486
@I604@	Q2745
@I6058@	Q1481
@I605@	Q2746
@I6060@	Q1482
@I606@	Q2747
@I6072@	Q1483
@I607@	Q2748
@I608@	Q2749
@I6096@	Q1485
@I609@	Q2750
@I610@	Q2751
@I6119@	Q1487
@I611@	Q2752
@I612@	Q2753
@I6131@	Q1488
@I613@	Q2754
@I6142@	Q1489
@I614@	Q2755
@I615@	Q2756
@I6164@	Q1498
@I616@	Q2757
@I617@	Q2758
@I6181@	Q1493
@I618@	Q843
@I6193@	Q1494
@I619@	Q844
@I6205@	Q1495
@I620@	Q2759
@I621@	Q2760
@I6229@	Q1497
@I622@	Q2761
@I623@	Q2762
@I6253@	Q1499
@I6257@	Q1500
@I6266@	Q1501
@I6279@	Q1502
@I628@	Q853
@I6291@	Q1503
@I629@	Q854
@I6303@	Q1504
@I630@	Q855
@I6315@	Q1505
@I631@	Q856
@I6327@	Q1506
@I6339@	Q1510
@I6351@	Q1508
@I636@	Q861
@I637@	Q862
@I6386@	Q1511
@I638@	Q863
@I6398@	Q1512
@I639@	Q864
@I640@	Q865
