entity_without_ids,name_without_ids,lang_without_ids,entity_with_ids,name_with_ids,lang_with_ids,normalized_name
Q16633,Ōuchi Shigehiro,en,Q26563,Ōuchi Shigehiro,ast,ōuchi shigehiro
Q16633,Ōuchi Shigehiro,en,Q26563,Ōuchi Shigehiro,tr,ōuchi shigehiro
Q16634,Mochiyo Ōuchi,en,Q26566,Mochiyo Ōuchi,en,mochiyo ōuchi
Q16634,Mochiyo Ōuchi,en,Q26566,Mochiyo Ōuchi,tr,mochiyo ōuchi
Q16635,Ōuchi Norisuke,en,Q26569,Ōuchi Norisuke,en,ōuchi norisuke
Q16635,Ōuchi Norisuke,en,Q26569,Ōuchi Norisuke,ast,ōuchi norisuke
Q16635,Ōuchi Norisuke,en,Q26569,Ōuchi Norisuke,tr,ōuchi norisuke
Q16636,Member of the Sanjo clan (mother of Ouchi Morimi),en,Q26572,Member of the Sanjo clan (mother of Ouchi Morimi),en,member of the sanjo clan (mother of ouchi morimi)
Q16637,Ōuchi Noriyuki,en,Q26575,Ōuchi Noriyuki,en,ōuchi noriyuki
Q16637,Ōuchi Noriyuki,en,Q26575,Ōuchi Noriyuki,ast,ōuchi noriyuki
Q16637,Ōuchi Noriyuki,en,Q26575,Ōuchi Noriyuki,tr,ōuchi noriyuki
Q16638,Da Nei Man Shi,en,Q26578,Da Nei Man Shi,en,da nei man shi
Q16639,Fang He Cheng Gao,en,Q26581,Fang He Cheng Gao,en,fang he cheng gao
Q16640,Daughter of Utsunomiya Mochitsuna (wife of Haga Shigetaka),en,Q26584,Daughter of Utsunomiya Mochitsuna (wife of Haga Shigetaka),en,daughter of utsunomiya mochitsuna (wife of haga shigetaka)
Q16641,Daughter of Uesugi Fusaaki (second wife of Utsunomiya Masatsuna),en,Q26587,Daughter of Uesugi Fusaaki (second wife of Utsunomiya Masatsuna),en,daughter of uesugi fusaaki (second wife of utsunomiya masatsuna)
Q16642,Wu Mao Jian Gang,en,Q26590,Wu Mao Jian Gang,en,wu mao jian gang
Q16645,Jie Cheng Zheng Zhao,en,Q26593,Jie Cheng Zheng Zhao,en,jie cheng zheng zhao
Q16646,Nan Lu Yuan,en,Q26596,Nan Lu Yuan,en,nan lu yuan
Q16648,Yūki Tomokatsu,en,Q26599,Yūki Tomokatsu,en,yūki tomokatsu
Q16649,Yi Zi Sheng Qing,en,Q26602,Yi Zi Sheng Qing,en,yi zi sheng qing
Q16651,Daughter of Mariya Nobukatsu (wife of Yanada Masasuke),en,Q26605,Daughter of Mariya Nobukatsu (Wife of Yanada Masasuke),en,daughter of mariya nobukatsu (wife of yanada masasuke)
Q16652,Yanada Mochisuke (Azuchi-Momoyama period),en,Q26608,Yanada Mochisuke (Azuchi-Momoyama period),en,yanada mochisuke (azuchi-momoyama period)
Q16658,Xiao Li Yuan Chi Qing,en,Q26614,Xiao Li Yuan Chi Qing,en,xiao li yuan chi qing
Q16659,Xiao Li Yuan Shang Qing,en,Q26617,Xiao Li Yuan Shang Qing,en,xiao li yuan shang qing
Q16660,Ōta Sukeyasu,en,Q26620,Ōta Sukeyasu,en,ōta sukeyasu
Q16660,Ōta Sukeyasu,en,Q26620,Ōta Sukeyasu,de,ōta sukeyasu
Q16660,Ōta Sukeyasu,en,Q26620,Ōta Sukeyasu,ast,ōta sukeyasu
Q16661,Ōta Kagesuke,en,Q26623,Ōta Kagesuke,en,ōta kagesuke
Q16662,Hosshōin,en,Q26626,Hosshōin,en,hosshōin
Q16663,Ōta Shigemasa,en,Q26629,Ōta Shigemasa,en,ōta shigemasa
Q16663,Ōta Shigemasa,en,Q26629,Ōta Shigemasa,de,ōta shigemasa
Q16663,Ōta Shigemasa,en,Q26629,Ōta Shigemasa,ast,ōta shigemasa
Q16664,Fu Dao Zheng Cheng,en,Q26632,Fu Dao Zheng Cheng,en,fu dao zheng cheng
Q16665,Hōjō Tsunafusa,en,Q26635,Hōjō Tsunafusa,en,hōjō tsunafusa
Q16665,Hōjō Tsunafusa,en,Q26635,Hōjō Tsunafusa,de,hōjō tsunafusa
Q16666,Jokoin-den (wife of Toyama Hayatosa),en,Q26638,Jokoin-den (Wife of Toyama Hayatosa),en,jokoin-den (wife of toyama hayatosa)
Q16667,Ji Liang Cheng Gao,en,Q26640,Ji Liang Cheng Gao,en,ji liang cheng gao
Q16669,Lai Ming Xin Hui,en,Q26642,Lai Ming Xin Hui,en,lai ming xin hui
Q16673,Yan Cang Ju Yao,en,Q26651,Yan Cang Ju Yao,en,yan cang ju yao
Q16674,Jiu Wo San Xiu,en,Q26654,Jiu Wo San Xiu,en,jiu wo san xiu
Q16676,Zuikoin (wife of Saionji Saneki),en,Q26660,Zuikoin (wife of Saionji Saneki),en,zuikoin (wife of saionji saneki)
Q16677,Xing Chun Yuan,en,Q26663,Xing Chun Yuan,en,xing chun yuan
Q16678,Nai Duo Zhi Ji,en,Q26666,Nai Duo Zhi Ji,en,nai duo zhi ji
Q16679,You Qing,en,Q26669,You Qing,en,you qing
Q16679,You Qing,en,Q41477,You Qing,en,you qing
Q16680,Jiu Wo Qing Zi,en,Q26672,Jiu Wo Qing Zi,en,jiu wo qing zi
Q16684,Tani Jiang Yuan,en,Q26681,Tani Jiang Yuan,en,tani jiang yuan
Q16685,Da Yang Yuan,en,Q26684,Da Yang Yuan,en,da yang yuan
Q16686,Dōchō,en,Q26687,Dōchō,en,dōchō
Q16686,Dōchō,en,Q26687,Dōchō,ast,dōchō
Q16686,Dōchō,en,Q26687,Dōchō,es,dōchō
Q16690,Ōura Mitsunobu,en,Q26693,Ōura Mitsunobu,en,ōura mitsunobu
Q16690,Ōura Mitsunobu,en,Q26693,Ōura Mitsunobu,tr,ōura mitsunobu
Q16691,Da Pu A Jiu,en,Q26696,Da Pu A Jiu,en,da pu a jiu
