# Japanese GEDCOM ID to Wikibase QID Mapping
# Generated by japanese_repair_upload.py

# Properties
birth_date	P7
child	P20
death_date	P8
full_name	P5
gedcom_refn	P41
given_name	P3
sex	P11
spouse	P42
surname	P4

# Individuals
@I10865@	Q17412
@I10866@	Q17413
@I10869@	Q17416
@I1086@	Q7634
@I10870@	Q17417
@I10871@	Q17418
@I10882@	Q17429
@I10885@	Q17432
@I10889@	Q17436
@I10898@	Q17445
@I108@	Q6644
@I10903@	Q17450
@I10906@	Q17453
@I10907@	Q17454
@I10908@	Q17455
@I10909@	Q17456
@I10911@	Q17458
@I10926@	Q17473
@I10927@	Q17474
@I1092@	Q7640
@I10934@	Q17481
@I10936@	Q17483
@I10937@	Q17484
@I10939@	Q17486
@I1093@	Q7641
@I10941@	Q17488
@I10942@	Q17489
@I10945@	Q17492
@I1094@	Q7642
@I10954@	Q17501
@I10955@	Q17502
@I10957@	Q17504
@I10960@	Q17507
@I10962@	Q17509
@I10965@	Q17512
@I10966@	Q17513
@I10968@	Q17515
@I10969@	Q17516
@I10970@	Q17517
@I10977@	Q17524
@I10978@	Q17525
@I10988@	Q17535
@I109@	Q6646
@I10@	Q6449
@I11015@	Q17562
@I11016@	Q17563
@I11021@	Q17568
@I11029@	Q17576
@I11031@	Q17578
@I11032@	Q17579
@I11038@	Q17585
@I11046@	Q17593
@I11047@	Q17594
@I1104@	Q7652
@I11050@	Q17597
@I11051@	Q17598
@I1105@	Q7653
@I11060@	Q17607
@I1106@	Q7654
@I11079@	Q17626
@I1107@	Q7655
@I11081@	Q17628
@I11082@	Q17629
@I11083@	Q17630
@I11085@	Q17632
@I11086@	Q17633
@I11087@	Q17634
@I11088@	Q17635
@I11089@	Q17636
@I1108@	Q7656
@I11090@	Q17637
@I11091@	Q17638
@I11092@	Q17639
@I11093@	Q17640
@I11094@	Q17641
@I11095@	Q17642
@I11097@	Q17644
@I11098@	Q17645
@I1109@	Q7657
@I110@	Q6648
@I11100@	Q17647
@I11101@	Q17648
@I11102@	Q17649
@I11103@	Q17650
@I11104@	Q17651
@I11105@	Q17652
@I11106@	Q17653
@I11107@	Q17654
@I11108@	Q17655
@I11109@	Q17656
@I11110@	Q17657
@I11111@	Q17658
@I11112@	Q17659
@I11113@	Q17660
@I11114@	Q17661
@I11115@	Q17662
@I11116@	Q17663
@I11118@	Q17665
@I11119@	Q17666
@I1111@	Q7659
@I11120@	Q17667
@I11121@	Q17668
@I11122@	Q17669
@I11123@	Q17670
@I11124@	Q17671
@I11125@	Q17672
@I11126@	Q17673
@I11127@	Q17674
@I11128@	Q17675
@I11129@	Q17676
@I11130@	Q17677
@I11131@	Q17678
@I11132@	Q17679
@I11133@	Q17680
@I11134@	Q17681
@I11135@	Q17682
@I11136@	Q17683
@I11137@	Q17684
@I11138@	Q17685
@I11139@	Q17686
@I1113@	Q7661
@I11140@	Q17687
@I11141@	Q17688
@I11142@	Q17689
@I11143@	Q17690
@I11144@	Q17691
@I11145@	Q17692
@I11146@	Q17693
@I11147@	Q17694
