qid,wikidata_qid,P7931,P6821,P8857,P7969,P9129,P3217,P6996,P2889,P4193,P535,P4108,P7352,P8094,P9644,P6192,P2503,P4116,P3051,P9195,P4620,P9280,P5452,P7434,P9495,P5871,P8462,P1185,P13492,P7929,P8143,P8356,P8172,P4963,P6303,P5259,P5324,P4819,P5316,P5536,P4820,P4638,P4159,P7607,P2949,P1819
Q135018,Q176022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135019,Q393054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135020,Q4811170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135021,Q22965372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135022,Q12765931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135023,Q9061634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135024,Q4067043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135025,Q5675384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135026,Q313901,,,,,,,,,,,,,,,,,,,,,,,,,,,90006,,,,,,,,,,,,,,,,,,
Q135027,Q117054206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135028,Q313213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135029,Q334739,,,,,,,,,,,,,,,,,,,,,,,,,,,407725,,,,,,,,,,,,,,,,,,
Q135030,Q313229,,,,,,,,,,,,,,,,,,,,,,,,,,,79444|174169,,,,,,,,,,,,,,,,,,
Q135031,Q115738592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135032,Q3603527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135033,Q20888416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135034,Q75382524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10265.htm#i102646,,,UNKNOWN-89344,
Q135035,Q1800394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135036,Q666947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135037,Q392414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135038,Q2537646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135039,Q632592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135040,Q4324886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135041,Q5820385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135042,Q5850304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135043,Q313912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736502
Q135044,Q117054212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135045,Q313221,,,,,,,,,,,,,,,,,,,,,,,,,,,407721,,,,,,,,,,,,,,,,,,
Q135046,Q1277966,,,,,,,,,,,,,,,,,,,,,,,,,,,174177,,,,,,,,,,,,,,,,,,
Q135047,Q313237,,,,,,,,,,,,,,,,,,,,,,,,,,,79445|174167,,,,,,,,,,,,,,,,,,
Q135048,Q2060131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135049,Q114905239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135050,Q75382522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10265.htm#i102645,,,UNKNOWN-89343,
Q135051,Q2451581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135052,Q603537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135053,Q1605643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135054,Q460405,,,,,,,,,,,,,,,,,,,,,,,,,,,695191,,,,,,,,,,,,,,,,,,
Q135055,Q1258032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135056,Q12764674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135057,Q10350845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135058,Q5733718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135059,Q116471088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736503
Q135060,Q297086,,alvin-person:51062,,,,,,,,,,,,,,,,,,,,,,person/b135959f-16cd-4e4b-b8e3-aca0c76a2bb7,,,,,,,,,,,,,,,,,,,,,I00736504
Q135061,Q5624097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135062,Q9160299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135063,Q117054223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135064,Q17012506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135065,Q1561954,,,,,,,,,,,,,,,,,,,,,,,,,,,440567,,,,,,,,,,,,,,,,,,
Q135066,Q20502646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135067,Q313216,,,,,,,,,,,,,,,,,,,,,,,,,,,79446,,,,,,,,,,,,,,,,,,
Q135068,Q188794,,,,,,,,,,,,,,,,,,,,,,,,term/d32f1972-55ff-45cf-b233-28e9d481e3d9,,,174165,,,,,,,,,,,,,,,,,,
Q135069,Q114905078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135070,Q18221342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10265.htm#i102644,,,Freawineasson-5,
Q135071,Q18417535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18359.htm#i183590,,,,
Q135072,Q4018734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wodensson-4,
Q135073,Q18327079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wodning-2,
Q135074,Q21011015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135075,Q21006602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135076,Q16385853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135077,Q7307943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135078,Q31790240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135079,Q488567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135080,Q31790239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135081,Q1258989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135082,Q12765778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135083,Q5817064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135084,Q469703,,,,,,,,,,,,,,,,,,,,,,,,,,,823341,,,,,,,,,,,,,,,,,,I00736505
Q135085,Q318426,,,,,,,,,,,,,,,,,,,,,,,,person/89e8f464-4e28-4763-8b69-605cea64c144,,,,,,,,,,,,,,,,,,,,,
Q135086,Q11921050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135087,Q1345898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135088,Q10328651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736506
Q135089,Q997387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135090,Q27958068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135091,Q117195731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135092,Q104536612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135093,Q888557,,,,,,,,,,,,,,,,,,,,,,,,,,,440568,,,,,,,,,,,,,,,,,,
Q135094,Q2903829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135095,Q18192190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135096,Q4430779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135097,Q3276278,,,,,,,,,,,,,,,,,,,,,,,,,,,596901,,,,,,,,,,,,,,,,,,
Q135098,Q75382513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10264.htm#i102639,,,Freawineasson-4,
Q135099,Q75507666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18360.htm#i183593,,,,
Q135100,Q75507660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18359.htm#i183589,,,,
Q135101,Q3568011,,,,,,,,,,,,,,,,,,,,,,,,,,,126865,,,,,,,,,,,,,,,Wihtlæg_Unknown_(1),,Ap_Woden-2,
Q135102,Q76974727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135103,Q47008706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135104,Q1266218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135105,Q1463572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135106,Q38503550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135107,Q2861389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135108,Q18120443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135109,Q84722094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135110,Q26846,,,,,,,,,,,,,,,,,,,,,,,,,,,823354,,,,,,,,,,,,,,,,,,
Q135111,Q346476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135112,Q705260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135113,Q374667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135114,Q116471085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00786179
Q135115,Q1917012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135116,Q117195738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135117,Q313225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135118,Q1879787,,,,,,,,,,,,,,,,,,,,,,,,,,,440569,,,,,,,,,,,,,,,,,,
Q135119,Q905162,,,,,,,,,,,,,,,,,,,,,,,,,,,440570,,,,,,,,,,,,,,,,,,
Q135120,Q108612981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135121,Q114904917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135122,Q3761553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10264.htm#i102638,,,Saxony-187,
Q135123,Q75507667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18360.htm#i183594,,,,
Q135124,Q75507658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18359.htm#i183588,,,,
Q135125,Q5742110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135126,Q1065492,,,,,,,,,,,,,,,,,,,,,,,,,,,126864,,,,,,,,,,,,,,,Wæmund_Unknown_(1),,Ap_Wihtlaeg-1,
Q135127,Q76974737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135128,Q12762271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135129,Q1266225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135130,Q509010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135131,Q16518569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135132,Q12878149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135133,Q359583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135134,Q116549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135135,Q2671359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135136,Q610906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135137,Q6736971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135138,Q346460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00786254
Q135139,Q125178688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135140,Q116471084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00786180
Q135141,Q313907,,,,,,,,,,,,,,,,,,,,,,,,person/fd3b96f3-2751-4e0c-8455-c86539b0c698,,,89999,,,,,,,,,,,,,,,Amyntas_III_of_Macedon_(1),,,I00736508
Q135142,Q221304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135143,Q117195741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135144,Q334729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135145,Q3627484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135146,Q3633296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135147,Q743216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135148,Q559304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135149,Q2060196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135150,Q367565,,,,,,,,,,,,,,,,,,,,,,,,,,,440571,,,,,,,,,,,,,,,,,,
Q135151,Q18192237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135152,Q9252684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135153,Q76141707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p56017.htm#i560170,,,Gewisson-1,
Q135154,Q75507669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18360.htm#i183595,,,,
Q135155,Q75507657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18359.htm#i183587,,,,
Q135157,Q462225,,,,,,,,,,,,,,,,,,,,,,,,,,,134889,,,,,,,,,,,,,,,,,,
Q135158,Q1417254,,,,,,,,,,,,,,,,,,,,,,,,,,,126863|842622,,,,,,,,,,,,,,,Offa_Unknown_(2),,Ap_Wermund-1,
Q135159,Q76974743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135160,Q2542457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135161,Q1263112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135162,Q488602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135163,Q12761959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135164,Q666652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135165,Q1172765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135166,Q1263300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135167,Q1266318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135168,Q1266803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135169,Q653464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135170,Q16983268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00786255
Q135171,Q241293,,,,,,,,,,,,,,,,,,,,,,,,,,,623639|351146,,,,,,,,,,,,,,,,,,I00567220
Q135172,Q957489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00786679
Q135173,Q242295,,,,,,,,,,,,,,,,,,,,,,,,,,,286779,,,,,,,,,,,,,,,Eurydice_I_of_Macedon_(1),,,I00736509
Q135174,Q17315632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135175,Q318466,,,,,,,,,,,,,,,,,,,,,,,,,,,666969,,,,,,,,,,,,,,,Perdiccas_III_of_Macedon_(1),,,I00736514
Q135176,Q313883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander_II_of_Macedon_(1),,,I00736513
Q135177,Q130650,,alvin-person:51063,,,,,,,,,,,,,,,,,,,,,,person/ddc257ce-61c0-45ec-bbf9-3c85bc123213,,,89997,,,,,,,,,,,,,,,Philip_II_of_Macedon_(1),,,I00712875
Q135178,Q6816891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135179,Q19997970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135180,Q355799,,,,,,,,,,,,,,,,,,,,,,,,,,,95864,,,,,,,,,,,,,,,,,,I00736339
Q135181,Q117212369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135182,Q334736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135183,Q123167260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135184,Q156328,,,,,,,,,,,,,,,,,,,,,,,,,,,79450,,,,,,,,,,,,,,,,,,
Q135185,Q115750166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135186,Q6176509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135187,Q191787,,,,,,,,,,,,,,,,,,,,,,,,,,,82347|427787,,,,,,,,,,,,,,,,,,
Q135188,Q130270587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135189,Q75382510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10264.htm#i102637,,,Sachsen-98,
Q135190,Q75507671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18360.htm#i183596,,,,
Q135191,Q75507655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18359.htm#i183586,,,,
Q135193,Q644262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135194,Q3617317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angeltheow_Unknown_(1),,Ap_Offa-1,
Q135195,Q76974754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135196,Q12766866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135197,Q741632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135198,Q1528104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135199,Q777923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135200,Q12761989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135201,Q113738479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135202,Q113745445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135203,Q125182112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135204,Q11946593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135205,Q7702077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135206,Q1263290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135207,Q116471089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00786181
Q135208,Q168261,,alvin-person:50798,,,,,,,,,,,,,,,,,,,,,,person/5370a06a-7ee0-4f68-9975-ca2e2e850526,,,351145,,,,,,,,,,,,,,,,,,I00567221
Q135209,Q1227205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135210,Q804609,,alvin-person:52163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00737568
Q135211,Q1522999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736510
Q135212,Q1199983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135213,Q175811,,,,,,,,,,,,,,,,,,,,,,,,,,,666967,,,,,,,,,,,,,,,Amyntas_IV_of_Macedon_(1),,,I00736515
Q135214,Q291784,,,,,,,,,,,,,,,,,,,,,,,,,,,666943,,,,,,,,,,,,,,,Audata_(1),,,I00736500
Q135215,Q1266822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135216,Q453968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736325
Q135217,Q458602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736501
Q135218,Q223134,,,,,,,,,,,,,,,,,,,,,,,,,,,139895|90691,,,,,,,,,,,,,,,Olympias_(1),,,I00712876
Q135219,Q1567598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135220,Q257526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135221,Q295530,,alvin-person:51938,,,,,,,,,,,,,,,,,,,,,,person/61b85481-828f-4dae-9f99-d1e012c08e20,,,,,,,,,,,,,,,,,,,,,I00737567
Q135222,Q242293,,,,,,,,,,,,,,,,,,,,,,,,,,,420115,,,,,,,,,,,,,,,,,,I00736324
Q135223,Q8409,,alvin-person:50797,,,,,,,,8246022,,,,,,,,,,,,,,person/CA210868-0317-461F-AA81-A25A96B8223E,,,89965,,,,,,,,,,,,,,,Alexander_the_Great_(1),,,I00712874
Q135224,Q235588,,,,,,,,,,,,,,,,,,,,,,,,,,,666960,,,,,,,,,,,,,,,Cynane_(1),,,I00737564
Q135225,Q230258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736413
Q135226,Q5412073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135227,Q2937876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135228,Q336436,,,,,,,,,,,,,,,,,,,,,,,,,,,95865,,,,,,,,,,,,,,,,,,I00736338
Q135229,Q379863,,,,,,,,,,,,,,,,,,,,,,,,,,,95781,,,,,,,,,,,,,,,,,,I00736340
Q135230,Q975898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I00736341
Q135231,Q313232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135232,Q313423,,,,,,,,,,,,,,,,,,,,,,,,,,,79451,,,,,,,,,,,,,,,,,,
Q135233,Q130564123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135234,Q115750150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135235,Q783824,,,,,,,,,,,,,,,,,,,,,,,,,,,970864,,,,,,,,,,,,,,,,,,
Q135236,Q75382547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10267.htm#i102661,,,Sachsen-109,
Q135237,Q366048,,,,,,,,,,,,,,,,,,I2565,,,,,,,,,92210,,,,,,,,,,,,,,p10264.htm#i102633,Cerdic_of_Wessex_(1),,Wessex-349,
Q135238,Q75507672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18360.htm#i183597,,,Bernicia-20,
Q135239,Q75507653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p18359.htm#i183585,,,,
Q135240,Q3742434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135241,Q12719645,,,,,,,,,,,,,,,,,,,,,,,,,,,126861,,,,,,,,,,,,,,,Eomer_Unknown_(2),,Ap_Angeltheow-1,
Q135242,Q76974760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135243,Q13368593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135244,Q1266372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135245,Q440230,,,,,,,,,,,,,,,,,,,,,,,,,,,824617,,,,,,,,,,,,,,,,,,
Q135246,Q607128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q135247,Q108442037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
