# Entities with Geni IDs but no Wikidata QIDs
qid,english_label,english_description,geni_ids
Q32194,Juan  de Castro y Torquemada,,6000000047859381951
Q32198,Gabriel  de Castro Pardo y Torquemada,,6000000048278417197
Q4698,Xiuhtémoc - Xiuhtlatzin,,6000000000321786244
Q4699,979-983 [? + c. 200],,6000000129942577849
Q4854,??? Tlatoani Mexico Tlatelolco ??,,6000000129474743831
Q32206,Lope  de Castro de Castro Pardo y Torquemada,,6000000048278080531
Q32210,Gutierre  de Castro de Castro Pardo y Torquemada,,6000000049320805827
Q32214,Guiomar  de Castro Pardo y Torquemada,,6000000049536221861
Q32218,García  de Castro de Castro Pardo y Torquemada,,6000000031347271240
Q32222,Juliana  de Santa María y Torquemada,,6000000049536068931
Q32226,Isabel  de Santa María y Torquemada,,6000000049536362847
Q32230,Jeronimo  de Torquemada,,6000000041173258031
Q32234,Maria  Diaz de Cuellar,,6000000001500799844
Q32238,maria  de la pena,,6000000127654472918
Q32242,Ruy II  Diaz de Mendoza,,6000000010826926481
Q32250,Magdalena  de Mendoza Salazar,,6000000005599151568
Q32254,"Gonzalo  de Salazar ""El mozo""",,6000000009856971750
Q32258,Antonio  Perez y Oñate Salazar,,6000000005024502001
Q32262,Alonso  de Oñate Salazar,,6000000003896572008
Q32266,FERNANDO  DE OÑATE,,6000000010826950462
Q32274,María  de Oñate Salazar,,6000000013624366522
Q32278,Antonia  de Pérez de Oñate Salazar,,6000000013624748340
Q32282,Catalina  de Pérez de Oñate Salazar,,6000000013632919762
Q32286,Luis  de Pérez de Oñate,,6000000013633054364
Q32294,Cristóbal  Pérez de Oñate y Salazar,,6000000033546809357
Q32302,Francisca  Velásquez de Salazar y de la Cadena,,6000000009689602611
Q32310,Gonzalo  de Salazar ( Velasquez de Salazar ),,6000000009857369994
Q32318,Francisca  de la Cadena Vargas,,6000000003199803064
Q32323,Marina  de Saavedra Guzmán,,6000000015530158718
Q32335,Luis  Saavedra de la Cadena,,6000000032306671212
Q32339,Antonia  Saavedra de la Cadena,,6000000032306321799
Q32343,Antonio  Cadena de la Bullon,,6000000012654236026
Q32347,Ursela  de San Miguel,,6000000011164240108
Q32351,Casilda  de Gauna Barahona,,6000000045997266920
Q32355,Maria  Gutierrez Maluenda,,6000000081080303904
Q32359,Alonso  Gutierrez de Maluenda,,6000000082065244146
Q32363,Bárbara  Alonso de Maluenda y Salamanca,,6000000061609864259
Q32367,Francisca  Alonso de Maluenda y Salamanca Polanco,,6000000090450425986
Q32375,Lope  Alonso de Maluenda Escobar,,6000000081706428155
Q32379,Juan  Rodriguez de Salamanca,,6000000080872778960
Q32383,Diego  Rodriguez de Salamanca,,6000000080872763924
Q32387,Pedro  Osorio,,6000000013383789529
Q32391,Ana María  de Manrique Osorio,,6000000014004117443
Q32395,María  Osorio,,6000000033654682302
Q32399,"Francisco Milán de Aragón y Osorio, Señor de las Baronías de Otos",,6000000026854286280
Q32403,Antonia  Oblitas y Lanaja,,6000000049823669949
Q32407,Juliana  de Aragón Gurrea y Pérez de Pomar,,6000000003493473993
Q32423,Alonso Luis  Funes de Villalpando y Santángel,,6000000078847826874
Q32427,Juan Antonio  Funes de Villalpando y Ariño,,6000000013153455767
Q32431,García  Funes de Villalpando y Ariño,,6000000050279669259
Q32435,Isabel  Funes de Villalpando y Ariño,,6000000050280225872
Q32443,Martín  Cabrero,,6000000023683620998
Q32447,Aldonza  Cabrero de Reus,,6000000192488881821
Q32451,Jerónimo  Cabrero Reus,,6000000029178720478
Q32455,Gonçalo  de Cabrero,,6000000029178910184
Q32463,Leonor  de Gamboa,,6000000029179018836
Q32467,Fernando  de Gamboa y Orteaga,,6000000102534153833
Q32471,Leonor  de Biu,,6000000029178847271
Q32475,Alfonso  de Paternoy y Aragón,,6000000026107783268
Q32479,Juan  de Paternoy y Aragón,,6000000026107650210
Q32483,Gonzalo  de Paternoy y Aragón,,6000000026107504286
Q32487,Juana  de Paternoy y Aragón,,6000000026107611819
Q32491,María  de Paternoy y Aragón,,6000000026107703204
Q32495,Jaime  Cerdán,,6000000029176944961
Q32499,Isabel  de Francia,,6000000029178606623
Q32507,Domingo  Aznar,,6000000029178614295
Q32511,Violante  Aznar,,6000000029178589095
Q32515,Beatriz  Aznar,,6000000029178581005
Q32519,N.  Sánchez,,6000000042555961635
Q32523,Francisco  Sánchez,,6000000042556070639
Q32527,N.  Sánchez,,6000000042556102526
Q32532,Constança  Pérez,,6000000029178666916
Q32536,Isabel  Pérez,,6000000029178543961
Q32540,Juan  de Paternoy,,6000000029178040234
Q32544,Violante  Manente,,6000000029178901068
Q32552,Josefa  de Pomar y Semanat,,6000000089101608919
Q32556,Pedro Pablo  Pomar y Tudela de Lanuza,,6000000089099181834
Q32560,Paula  Pomar y Tudela de Lanunza,,6000000083126528207
Q32564,Francisco  Pomar y Tudela de Lanuza,,6000000089098405901
Q32568,Baruch  ibn Ya'ish,,6000000018640190323
Q32572,Pedro  Navarro,,6000000039635529933
Q32576,Don Gedaliah Ibn Yehuda  ibn Yahya of Lisbon,,6000000014746058375
Q32580,Gedaliah  ibn Yahya of Lisbon,,6000000014746306024
Q32584,Don Shlomo  ibn Yahya of Lisbon,,6000000014746271223
Q32592,Don Gedaliah  ibn Yahya of Lisbon,,6000000014746271229
Q32596,Don Moshe Gabriel  ibn Yahya,,6000000014746271234
Q32600,Don Yahya  ibn Yahya of Lisbon,,6000000014746336428
Q32604,Yakob ben Shlomo  ibn Yachya,,6000000014737191269
Q32608,David Ben Shlomo Gadalya Ibn  YAHYA,,6000000002638833316
Q32612,Gedaliah ben Shlomo  ibn Yachya,,6000000014736954716
Q32616,7 daughters  Yahia,,6000000007013506147
Q32620,Luís  Vaz de Negro,,6000000027453577686
Q32624,David ben Yosef  Ibn Yahya,,6000000013585897307
Q32628,Shlomo  Ibn Yahya,,6000000044377113754
Q32636,Meir  Ibn Yahya,,6000000044377580072
Q32652,Jacob  Abravanel,,6000000011099674877
Q32656,Joseph  Abravanel,,6000000082954138092
Q32660,Samuel (ben Yehuda)  Abravanel,,6000000082954291132
Q32664,Diego  Abravanel,,6000000011461716659
Q32668,María  Abravanel,,6000000024860840687
Q32672,Gonzalo  De Sevilla y Arauzo,,6000000012522703344
Q32680,Sra.  Abravanel,,6000000027453652137
Q32684,Martín  de Gante y Sánchez,,6000000010926658710
Q32688,Antonio  de Gante y Sánchez,,6000000086168793884
Q32692,Juan  de Gante y Sánchez,,6000000086168857888
Q32696,Alonso  de Gante y Sánchez,,6000000086166593435
Q32700,Diego  de Gante y Sánchez,,6000000086168275054
Q32708,Moshe  Stern,,6000000000348807313
Q32712,David  Provencal,,6000000000348889249
Q32716,Pedro  Pardo de Soria,,6000000080988343980
Q32724,Juan  Pardo Soria,,6000000080941395273
Q32728,Catalina  de Pardo y Soria,,6000000081074088828
Q32732,Elena  Pardo Soria,,6000000081078080908
Q32736,María  Pardo Soria,,6000000049537603972
Q32740,Diego de Soria,,6000000077452449783
Q32744,Catalina  de Lerma Soria,,6000000081077174076
Q32748,Maria  de Lerma Soria,,6000000081076758237
Q32756,Pedro  de Maluenda Castro y de la Torre,,6000000081972968040
Q32760,Maria  de Maluenda de Castro y de la Torre,,6000000084115431140
Q32768,Bernardina  de Santa Cruz Maluenda,,6000000081067024350
Q32772,Beatriz  de Santa Cruz Maluenda,,6000000081073069855
Q32780,Francisco  de Santa Cruz,,6000000009836418667
Q32784,Gaspar  de Burgos Polanco,,6000000080992352849
Q32788,Francisco  de Santa Cruz Polanco,,6000000009836767411
Q32792,Juan  de Santa Cruz Polanco,,6000000076396233081
Q32812,Mayor of Cadiz Capt. Diego  Polanco,,6000000076400944576
Q32816,Catalina  de Polanco,,6000000102224822840
Q32824,Gaspar  Polanco,,6000000076393988925
Q32828,Teresa  de Polanco Calderón,,6000000076398503904
Q32832,Lucia  de Polanco Calderón,,6000000076399122024
Q32836,Maria  de Polanco Calderón,,6000000076400261907
Q3284,Moshe J=MA,,6000000026381287171
Q32840,Juan  de Tardajos Polanco,,6000000080888607979
Q32844,Francisco  de Medina Polanco,,6000000076393575940
Q32848,Alonso  Lopez Polanco,,6000000083357906047
Q3285,David ben Shlomo ben Gedalya ibn Yahya,,6000000050938081910
Q32856,Diego  Lopez Polanco,,6000000076394769303
Q32860,Juana  Polanco,,6000000083183205407
Q32864,Juliana  de Polanco,,6000000076431876823
Q32868,Mariana  Polanco,,6000000076909823844
Q32872,Isabel  Polanco,,6000000078405056870
Q32876,Melchor  Gutierrez Polanco,,6000000083500872086
Q32881,Juan Bautista  de Polanco,,6000000083502923153
Q32885,Isabel  de Polanco Salamanca,,6000000085691688840
Q32889,Juana  de Polanco Salamanca,,6000000076646654100
Q32893,"Andres  Lopez de Polanco, Mayor of Burgos",,6000000076406988860
Q32901,Beatriz  de Polanco Salamanca,,6000000049695251863
Q32905,Alonso  de Polanco Salamanca,,6000000084396237778
Q32909,Fray Juan  de Polanco Salamanca,,6000000176792087858
Q32913,Garcia  Perez Polanco,,6000000064526403824
Q32917,Hernan  Perez de Polanco,,6000000072981384673
Q32921,Juan  Sanchez de Onsijera Polanco,,6000000072983167822
Q32925,Leonor  de Castro Polanco,,6000000081025970050
Q32933,Fernando  de Castro Polanco,,6000000076407388822
Q32937,Pedro  Fernandez de Castro Polanco,,6000000084131955288
Q32945,Bernardo  de Castro Polanco,,6000000084132464924
Q32949,Tomas  de Baeza Polanco,,6000000106068398821
Q32953,Juan Bautista  de Baeza Polanco,,6000000076902369953
Q32957,Lesmes  de Maluenda Salamanca,,6000000076337509093
Q32961,Leonor Isabel  de Maluenda Salamanca,,6000000081296135198
Q32965,Ines  de Maluenda Salamanca,,6000000084103278945
Q32969,Brianda de  Bazán y Castro,,6000000001091889788
Q32973,Juan Antonio  de Castro Miranda,,6000000081021592968
Q32977,Francisca  de San Vítores de la Portilla y Maluenda,,6000000082160330091
Q32981,Astrug  Shaltiel,,6000000014694749861
Q32993,Reina  Koronel,,6000000009986410725
Q32997,Shlomo  Koronel,,6000000003754531992
Q33001,Alonso Ramires,,6000000003754762311
Q33005,Alonso Lopez  Senor,,6000000003754767522
Q33009,Klamente Lopes,,6000000009986493523
Q3417,Carbajal Villafane,,6000000015436213504
Q3505,Francisco,,6000000017389491444
Q3675,Avraham=AA,,6000000026381198100
Q3676,Yosef ben Don David Hacham ibn Yahya,,6000000050938071939
Q3715,Martín de Velasco,,6000000190705813832
Q3719,Bernardino de Salinas,,6000000190742802923
Q3720,Antonio de Salinas,,6000000190743276833
Q3800,Juan de Castro Polanco,,6000000078223054838
Q105555,Daughter of Rabbi Yehuda the President,,6000000009792459373
Q106496,Caliph Uthman bin Affan,,6000000003153535504
Q6120,VIOLANTE DE SOTOMAYOR Y BLASCO,,6000000004840333011
Q94179,Ubaidullah bin Abdullah bin Ja'afar,,6000000015277893631
Q94441,Nadla son of Imaam Hashim,,6000000030594692587
Q94559,Muhammad al-Nafs al-Zakiyya Al-Hasani,,6000000005440561460
