# Entities lacking both identifiers and family relationships
qid,english_label,english_description,has_p39_no_identifiers,has_p39_no_relatives
Q3585,Gaspar Carlos de Ribadeneira y Velázquez de Salazar,,No,No
Q3586,Juan de Rivadeneyra,,No,No
Q3587,Juan Velázquez de Salazar y de Montejo,,No,No
Q3588,Diego Velázquez del Castillo,,No,No
Q3589,ANTONIA DE OÑATE Y RIVADENEIRA,,No,No
Q359,Metaz Metazoa,,No,No
Q3591,Catalina Caballero de la Cadena,,No,No
Q3592,Isabel Costilla de Saavedra,,No,No
Q3593,Juan de Saavedra Guzmán y Villafañe,,No,No
Q3594,María de la Cadena Pacheco,,No,No
Q3595,Francisco Vélez de Guevara Salamanca y Gaona,,No,No
Q3596,Juan Vélez de Guevara y Gaona,,No,No
Q3597,Beatriz Vélez de Guevara Salamanca y Gaona,,No,No
Q3598,Luis Lopez de Gallo y Gutierrez,,No,No
Q3599,Fernando Lopez de Gallo y Gutierrez,,No,No
Q360,Volvox-Choan The Cancerous one,,No,No
Q3600,Francisca Gallo Gutierrez Maluenda,,No,No
Q3602,Juan Alonso Fernández de Castro y Maluenda,,No,No
Q3603,Jeronima Fernández de Castro y Maluenda,,No,No
Q3604,Diego Jerónimo (Luis) de San Vitores y Alonso de Maluenda,,No,No
Q3605,Josefa Maria María de San Vitores y Alonso Maluenda,,No,No
Q3606,Josef de San Vitores y Alonso de Maluenda,,No,No
Q3607,Francisca de San Vitores Alonso de Maluenda,,No,No
Q3608,María de Quintana Dueñas y Alonso de Maluenda,,No,No
Q3609,Francisco de Quintana Dueñas y Alonso de Maluenda,,No,No
Q3610,Isabel Alonso de Maluenda y Arévalo,,No,No
Q3611,Lope Alonso de Maluenda y Arévalo,,No,No
Q3612,,,No,No
Q3613,Alvaro Pérez Osorio,,No,No
Q3614,Antonio Ossorio Fonseca,,No,No
Q3615,Leonor de Zamudio Manrique y Osorio,,No,No
Q3616,Diego López de Chaves,,No,No
Q3617,Alonso Milán de Aragón y Torrellas,,No,No
Q36170,,,No,No
Q3618,Baltasar Milá de Aragón y Castellblanch,,No,No
Q3619,Francisco Jacinto Nicolás Antonio Buenaventura Funes de Villalpando y Clemente Enríquez de Lacarra,,No,No
Q362,Hyphus Fungus sensuo stricto,,No,No
Q3620,Juan Manuel Funes de Villalpando y Sanz de Latrás,,No,No
Q3621,Pedro Funes de Villalpando y Sanz de Latrás,,No,No
Q3623,Baltasar Funes de Villalpando y Sanz de Latrás,,No,No
Q36232,,,No,No
Q3624,Melchor Funes de Villalpando y Sanz de Latrás,,No,No
Q3625,Isabel Juana Funes de Villalpando y Sanz de Latrás,,No,No
Q3626,Lupercio Funes de Villalpando y Sanz de Latrás,,No,No
Q3627,José de Gurrea y Villalpando,,No,No
Q36276,,,No,No
Q3628,Matías Marín de Resende Francia y de Ciria,,No,No
Q3629,Dionisio Cabrero,,No,No
Q363,Rozella basal Fungus,,No,No
Q3630,Miguel de Ariño y Cabrero,,No,No
Q3631,Martín Juan de Ariño y Cabrero,,No,No
Q3632,Gaspar de Ariño y Cabrero,,No,No
Q3634,Aldonza de Cabrero y Manente,,No,No
Q3635,Blasco Cabrero y Manente,,No,No
Q3636,Isabel Cabrero y Manente,,No,No
Q3637,Francisca Cabrero y Cabrero,,No,No
Q3638,Alonso Muñoz,,No,No
Q3639,Leonor Muñoz,,No,No
Q36399,,,No,No
Q364,Rozellida Rozellida,,No,No
Q3640,Francisca Cerdán,,No,No
Q36403,,,No,No
Q3641,Jerónima Cerdán,,No,No
Q36411,,,No,No
Q3642,Beatriz Cerdán,,No,No
Q3643,Ana Cerdán,,No,No
Q3645,Pedro Federico Dolz de Espejo y Pomar,,No,No
Q36455,,,No,No
Q3646,María Josefa Dolz de Espejo y Pomar,,No,No
Q3647,Jerónimo Dolz de Espejo y Pomar,,No,No
Q3648,Paula Dolz de Espejo y Pomar,,No,No
Q3649,Ramón de Pomar,,No,No
Q365,Microsporidia Microsporidia,,No,No
Q3650,David ibn Ya'ish,,No,No
Q36500,,,No,No
Q3651,Pedro Navarro,,No,No
Q3652,bat Gedaliah ibn Yahya,,No,No
Q3653,bat Gedalia ibn Yahya,,No,No
Q36536,,,No,No
Q3655,Don Yehuda ibn Yahya of Salonica,,No,No
Q3656,bat Gedaliah ibn Yahya,,No,No
Q3657,Shlomo ibn Yahya,,No,No
Q36576,,,No,No
Q3658,Don David ibn Yahya,,No,No
Q36580,,,No,No
Q3659,David ibn Yahya,,No,No
Q366,Chytrus Chytrid evolutionary grade,,No,No
Q3660,bat Gedaliah ibn Yahya,,No,No
Q3661,Don Yosef ibn Yahya,,No,No
Q3662,bat Gedaliah ibn Yahya,,No,No
Q36625,,,No,No
Q3663,Don David Señor Duarte Saraiva,,No,No
Q3664,Don Baruch Señor ibn Yahya,,No,No
Q3666,Hacham Gedaliah Benveniste,,No,No
Q3667,Don Abraham ibn Yahya,,No,No
Q36670,,,No,No
Q3668,Don Yehuda ibn Yahya,,No,No
Q3669,Don Yosef ben Don David Hacham ibn Yahya,,No,No
Q367,Aphelides Aphelidium,,No,No
Q3670,Iacob Tam (Schlomo) ben David ibn Yachya,,No,No
Q3671,2 daughters Yahia,,No,No
Q36714,,,No,No
Q3672,Don Shlomo ibn Yahya,,No,No
Q3673,Manuel Rodrigues de Negro,,No,No
Q36734,,,No,No
Q3674,Yosef ben David Ibn Yahya,,No,No
Q3677,Judah Leon Medigo Abarbanel,,No,No
Q36774,,,No,No
Q3678,Esther Abravanel,,No,No
Q3679,Joseph Abarbanel,,No,No
Q368,Symbius Symbiomycota,,No,No
Q3680,Samuel Zanwill Abravanel,,No,No
Q3681,Benvenida Luna Abravanel,,No,No
Q36818,,,No,No
Q3682,Samuel (ben Joseph) Abravanel,,No,No
Q3683,Pedro Ordóñez de Villaquirán,,No,No
Q3684,Isabel Ordóñez de Guzmán,,No,No
Q36848,,,No,No
Q3685,Fernan Rodriguez De Sevilla y Arauzo,,No,No
Q36852,,,No,No
Q36856,,,No,No
Q3686,Inez De Sevilla y Arauzo,,No,No
Q36864,,,No,No
Q3687,Henrique Fernandez Abravanel,,No,No
Q3688,Alvaro Fernandez Abravanel,,No,No
Q3689,Cinfam Abravanel,,No,No
Q369,Embra Crown Embryophyta,,No,No
Q3690,Martín de Salinas y Gante,,No,No
Q36908,,,No,No
Q3691,Tristán de Gante y Malo,,No,No
Q3692,Francisco de Gante y Malo,,No,No
Q3693,Juan de Gante y Malo,,No,No
Q3694,Jorge de Gante y Malo,,No,No
Q3695,Iseo de Gante y Malo,,No,No
Q36951,,,No,No
Q3696,NN de Gante y Malo,,No,No
Q36960,,,No,No
Q3697,Leonor de Gante y Malo,,No,No
Q3698,,,No,No
Q3699,Aharon Stern,,No,No
Q36995,,,No,No
Q370,Charos Embryophyta + Charophyta,,No,No
Q3700,Avraham Provenzale,,No,No
Q3701,Juan Bautista Pardo de Soria y Orense,,No,No
Q3702,Juan Pardo de Soria y Melendez,,No,No
Q3703,Francisca Pardo de Soria y Melendez,,No,No
Q3704,Maria Pardo de Soria y Melendez,,No,No
Q37040,,,No,No
Q3706,Diego López de Castro Pardo,,No,No
Q3707,Fernando de Castro y Pardo,,No,No
Q3708,Jerónimo de Castro,,No,No
Q37084,,,No,No
Q3709,Juan Fernández de Castro,,No,No
Q371,Vert Viridiplantae,,No,No
Q3710,Alonso de Castro Pardo,,No,No
Q3711,Pedro de Castro,,No,No
Q3712,Mariana de Castro y Pardo,,No,No
Q37128,,,No,No
Q3713,Conquistador de Peru Pedro de Lerma y Salinas,,No,No
Q3714,Juan de Lerma y Salinas,,No,No
Q3717,Jeronimo de Salinas y Lerma,,No,No
Q37173,,,No,No
Q3718,Diego de Lerma Salinas,,No,No
Q372,Chloros Chlorophyta (check all descendants this part seems wrong),,No,No
Q3721,Pedro Ruiz de la Mota y Soria de Lerma,,No,No
Q37219,,,No,No
Q3722,Leonor de Coria de Chávez,,No,No
Q3723,Manuel de Coria,,No,No
Q3724,Hernando De Coria De Chávez,,No,No
Q3725,María de Coria de Chávez,,No,No
Q3726,Alonso de Soria Chávez y Verdugo,,No,No
Q37264,,,No,No
Q3728,Cristobal De Coria De Chávez,,No,No
Q3729,Gracia Chávez y Verdugo,,No,No
Q373,Chlorovos son of Chloros,,No,No
Q3730,Diego de Coria,,No,No
Q37308,,,No,No
Q3731,Jerónimo de Coria y Mendoza,,No,No
Q3732,Diego de Coria y Mendoza,,No,No
Q3733,Juan de Maluenda Castro,,No,No
Q3734,Francisco Garces de Maluenda y Medina,,No,No
Q3735,Antonio de Sarmiento Maluenda,,No,No
Q3736,Francisco de Sarmiento Maluenda,,No,No
Q3737,Catalina de Astudillo Mazuelo,,No,No
Q3739,Beatriz de Astudillo Mazuelo,,No,No
Q374,Pyramona son of Chloros,,No,No
Q3740,Juan Rodriguez de Santa Cruz y Astudillo,,No,No
Q3741,Bernardina de Santa Cruz y Astudillo,,No,No
Q3742,Bernardino de Astudillo y Santa Cruz,,No,No
Q3743,Alonso de Astudillo Mazuelo y Santa Cruz,,No,No
Q3744,Gaspar de Lerma Polanco y Santa Cruz,,No,No
Q3745,Beatriz de Santa Cruz Polanco,,No,No
Q3746,Juan de Santa Cruz Polanco,,No,No
Q3747,Feliciano Santa Cruz Polanco,,No,No
Q3748,Pedro de Santa Cruz Polanco,,No,No
Q375,Utico son of Chloros,,No,No
Q3750,Estefanía Santa Cruz Polanco,,No,No
Q3751,Feliciano de Santa Cruz Orduña,,No,No
Q3752,Alvaro de Santa Cruz Orduña,,No,No
Q3753,Estefania de Velasco,,No,No
Q3754,Francisca de Santa Cruz Orduña,,No,No
Q3755,Diego de Santa Cruz Orduña,,No,No
Q3756,Catalina de Santa Cruz Polanco,,No,No
Q3757,Diego Lopez de Burgos Polanco y Yanez,,No,No
Q3758,Hernan Lopez de Burgos Polanco y Yanez,,No,No
Q3759,Cartographer of the King Alonso de Santa Cruz,,No,No
Q376,Chlorodendrus son of Chloros,,No,No
Q3761,Leonor de Benavides Santa Cruz,,No,No
Q3762,Francisco de Santa Cruz Polanco,,No,No
Q3763,Juan de Santa Cruz Polanco,,No,No
Q3764,Bautista Polanco,,No,No
Q3765,Francisco Lopez de Polanco,,No,No
Q3766,Gregorio de Polanco,,No,No
Q3767,Diego Polanco,,No,No
Q3768,Nicolas Polanco,,No,No
Q3769,Juan Polanco,,No,No
Q377,Palmos son of Chloros,,No,No
Q3770,Fernando de Polanco,,No,No
Q3772,Beatriz de Polanco,,No,No
Q3773,Alonso de Polanco,,No,No
Q3774,Beltran Polanco de Castro,,No,No
Q3775,Juan Lopez de Polanco,,No,No
Q3776,Elena de Polanco Orellana,,No,No
Q3777,Francisco Polanco Orellana,,No,No
Q3778,Juan Pérez Polanco,,No,No
Q3779,Alonso Perez de Polanco,,No,No
Q378,Ulvophyceus Ulvophyceae,,No,No
Q3780,Alonso Polanco,,No,No
Q3781,Antonio Polanco,,No,No
Q3783,Hernando Polanco,,No,No
Q3784,Fray Diego Polanco,,No,No
Q37846,,,No,No
Q3785,Diego Polanco Lainez,,No,No
Q3786,Luis Fernandez Polanco de Araujo,,No,No
Q3787,Antonio Fernandez Polanco de Araujo,,No,No
Q3788,Juan Gutierrez de Polanco,,No,No
Q3789,Antonia de Polanco,,No,No
Q37893,,,No,No
Q379,Trebouxes Trebouxiophyceae,,No,No
Q3790,Constanza Pardo Polanco,,No,No
Q3791,Catalina Pardo Polanco,,No,No
Q3792,Diego de Polanco Sandoval,,No,No
Q3794,Pedro Polanco de Henao,,No,No
Q3795,V. G. Garcia Polanco,,No,No
Q3796,Luis Polanco,,No,No
Q3797,Juan Ravelo Polanco,,No,No
Q3798,Francisco Ravelo Polanco,,No,No
Q3799,María de Castro y Polanco,,No,No
Q380,Chlorophyceus Chlorophyceae,,No,No
Q3801,Angela de Castro Polanco,,No,No
Q38010,,,No,No
Q38014,,,No,No
Q38018,,,No,No
Q3802,Pedro de Castro Polanco,,No,No
Q38022,,,No,No
Q38026,,,No,No
Q3803,Gregorio de Castro Polanco,,No,No
Q38030,,,No,No
Q104522,,,No,No
Q104524,,,No,No
Q104526,,,No,No
Q104527,,,No,No
Q104529,,,No,No
Q10453,Zeng Shou,,No,No
Q104532,,,No,No
Q104534,,,No,No
Q104536,,,No,No
Q104538,,,No,No
Q104540,,,No,No
Q104542,,,No,No
Q104544,,,No,No
Q104546,,,No,No
Q104548,,,No,No
Q104550,,,No,No
Q104552,,,No,No
Q104554,,,No,No
Q104556,,,No,No
Q104558,,,No,No
Q10456,Ji Guang Qing,,No,No
Q104560,,,No,No
Q104562,,,No,No
Q104564,,,No,No
Q104566,,,No,No
Q104568,,,No,No
Q10457,Kojijū,,No,No
Q104570,,,No,No
Q104572,,,No,No
Q104574,,,No,No
Q104576,,,No,No
Q104578,,,No,No
Q104580,,,No,No
Q104582,,,No,No
Q104583,Froila Rodriguez  de Trastámara,,No,No
Q104584,,,No,No
Q104586,,,No,No
Q104588,,,No,No
Q10459,Jian Yuan Zhen Heng,,No,No
Q104590,,,No,No
Q104592,,,No,No
Q104594,,,No,No
Q104595,Hisham ibn Abd al-Jabbar,,No,No
Q104596,,,No,No
Q104597,,,No,No
Q104599,,,No,No
Q1046,Unnamed clade 1 Eupelycosauria,,No,No
Q104601,,,No,No
Q104603,,,No,No
Q104605,,,No,No
Q104607,,,No,No
Q104609,,,No,No
Q104611,,,No,No
Q104613,,,No,No
Q104615,,,No,No
Q104617,,,No,No
Q104619,,,No,No
Q10462,Teng Yuan Qing Jia,,No,No
Q104621,,,No,No
Q104623,,,No,No
Q104625,,,No,No
Q104627,,,No,No
Q104629,,,No,No
Q10463,Teng Yuan Dao Jing  (ping An Shi Dai ),,No,No
Q104631,,,No,No
Q104633,,,No,No
Q104635,,,No,No
Q104637,,,No,No
Q104639,,,No,No
Q104641,,,No,No
Q104643,,,No,No
Q104645,,,No,No
Q104647,,,No,No
Q104649,,,No,No
Q104651,,,No,No
Q104653,,,No,No
Q104655,,,No,No
Q104657,,,No,No
Q104659,,,No,No
Q104661,,,No,No
Q104663,,,No,No
Q104665,,,No,No
Q104667,,,No,No
Q104669,,,No,No
Q104671,,,No,No
Q104673,,,No,No
Q104675,,,No,No
Q104677,,,No,No
Q104679,,,No,No
Q104681,,,No,No
Q104683,,,No,No
Q104685,,,No,No
Q104687,,,No,No
Q104689,,,No,No
Q104691,,,No,No
Q104693,,,No,No
Q104695,,,No,No
Q104697,,,No,No
Q104699,,,No,No
Q104701,,,No,No
Q104703,,,No,No
Q104705,,,No,No
Q104707,,,No,No
Q104709,,,No,No
Q10471,Jing Shang Jia Ji,,No,No
Q104711,,,No,No
Q104713,,,No,No
Q104715,,,No,No
Q104717,,,No,No
Q104719,,,No,No
Q10472,Jing Shang Lai Zi,,No,No
Q104721,,,No,No
Q104723,,,No,No
Q104725,,,No,No
Q104726,,,No,No
Q104728,,,No,No
Q10473,Jing Shang Man Shi,,No,No
Q104730,,,No,No
Q104732,,,No,No
Q104734,,,No,No
Q104736,,,No,No
Q104738,,,No,No
Q10474,Yuan Lai Jun,,No,No
Q104740,,,No,No
Q104742,,,No,No
Q104744,,,No,No
Q104746,,,No,No
Q104748,,,No,No
Q10475,Yuan Lai Fang Noniang  (qing Ren Qin Wang Fei ),,No,No
Q104750,,,No,No
Q104752,,,No,No
Q104754,,,No,No
Q104756,,,No,No
Q104758,,,No,No
Q104760,,,No,No
Q104762,,,No,No
Q104764,,,No,No
Q104766,,,No,No
Q104768,,,No,No
Q104770,,,No,No
Q104772,,,No,No
Q104774,,,No,No
Q104776,,,No,No
Q104778,,,No,No
Q104780,,,No,No
Q104782,,,No,No
Q104784,,,No,No
Q104786,,,No,No
Q104788,,,No,No
Q104790,,,No,No
Q104792,,,No,No
Q104794,,,No,No
Q104796,,,No,No
Q104798,,,No,No
Q1048,Unnamed clade 2 Eupelycosauria,,No,No
Q10480,Yuan Lai Gang Noniang  (teng Yuan Shi Tong Shi ),,No,No
Q104800,,,No,No
Q104802,,,No,No
Q104804,,,No,No
Q104806,,,No,No
Q104808,,,No,No
Q104810,,,No,No
Q104812,,,No,No
Q104814,,,No,No
Q104816,,,No,No
Q104818,,,No,No
Q10482,Yuan Lai Gang Noniang  (teng Yuan Xing Shi Shi ),,No,No
Q104820,,,No,No
Q104822,,,No,No
Q104824,,,No,No
Q104826,,,No,No
Q104828,,,No,No
Q10483,Yuan Sheng Zi,,No,No
Q104830,,,No,No
Q104832,,,No,No
Q104834,,,No,No
Q104836,,,No,No
Q104838,,,No,No
Q104840,,,No,No
Q104842,,,No,No
Q104844,,,No,No
Q104846,,,No,No
Q104848,,,No,No
Q10485,Gyōen,,No,No
Q104850,,,No,No
Q104852,,,No,No
Q104854,,,No,No
Q104856,,,No,No
Q104858,,,No,No
Q10486,Yuan Xing Shi,,No,No
Q104860,,,No,No
Q104862,,,No,No
Q104864,,,No,No
Q104866,,,No,No
Q104868,,,No,No
Q10487,Yuan Zhi Yi,,No,No
Q104870,,,No,No
Q104872,,,No,No
Q104874,,,No,No
Q104876,,,No,No
Q104878,,,No,No
Q10488,Yuan Ji Guo,,No,No
Q104880,,,No,No
Q104882,,,No,No
Q104884,,,No,No
Q104886,,,No,No
Q104888,,,No,No
Q104890,,,No,No
Q104892,,,No,No
Q104894,,,No,No
Q104896,,,No,No
Q104898,,,No,No
Q104900,,,No,No
Q104902,,,No,No
Q104904,,,No,No
Q104906,,,No,No
Q104908,,,No,No
Q104910,,,No,No
Q104912,,,No,No
Q104914,,,No,No
Q104916,,,No,No
Q104918,,,No,No
Q104920,,,No,No
Q104922,,,No,No
Q104924,,,No,No
Q104926,,,No,No
Q104928,,,No,No
Q104930,,,No,No
Q104932,,,No,No
Q104934,,,No,No
Q104936,,,No,No
Q104938,,,No,No
Q104940,,,No,No
Q104942,,,No,No
Q104944,,,No,No
Q104946,,,No,No
Q104948,,,No,No
Q10495,Teng Yuan Chang Long,,No,No
Q104950,,,No,No
Q104952,,,No,No
Q104954,,,No,No
Q104956,,,No,No
Q104958,,,No,No
Q104960,,,No,No
Q104962,,,No,No
Q104964,,,No,No
Q104966,,,No,No
Q104968,,,No,No
Q10497,Teng Yuan Sheng Guo,,No,No
Q104970,,,No,No
Q104972,,,No,No
Q104974,,,No,No
Q104976,,,No,No
Q104978,,,No,No
Q104980,,,No,No
Q104982,,,No,No
Q104984,,,No,No
Q104986,,,No,No
Q104988,,,No,No
Q10499,Teng Yuan Xian Xian,,No,No
Q104990,,,No,No
Q104992,,,No,No
Q104994,,,No,No
Q104996,,,No,No
Q104998,,,No,No
Q105000,,,No,No
Q105002,,,No,No
Q105004,,,No,No
Q105006,,,No,No
Q105008,,,No,No
Q105010,,,No,No
Q105012,,,No,No
Q105014,,,No,No
Q105016,,,No,No
Q105018,,,No,No
Q10502,Yuan Zheng Chang Nu  (bai He Tian Huang Hou Gong ),,No,No
Q105020,,,No,No
Q105022,,,No,No
Q105024,,,No,No
Q105026,,,No,No
Q105028,,,No,No
Q10503,Yuan Zheng Chang Noniang  (yuan Shi Zhong Shi ),,No,No
Q105030,,,No,No
Q105032,,,No,No
Q105034,,,No,No
Q105036,,,No,No
Q105038,,,No,No
Q105040,,,No,No
Q105042,,,No,No
Q105044,,,No,No
Q105046,,,No,No
Q105048,,,No,No
Q10505,Gao Jie Wei Jia Noniang  (yuan You Xian Shi ),,No,No
Q105050,,,No,No
Q105052,,,No,No
Q105054,,,No,No
Q105056,,,No,No
Q105058,,,No,No
Q10506,Ping Zheng Sheng Noniang  (yuan You Xian Shi ),,No,No
Q105060,,,No,No
Q105062,,,No,No
Q105064,,,No,No
Q105066,,,No,No
Q105068,,,No,No
Q105070,,,No,No
Q105072,,,No,No
Q105074,,,No,No
Q105076,,,No,No
Q105078,,,No,No
Q10508,Minamoto no Arikata's daughter (wife of Fujiwara no Chōsuke and Fujiwara no Tadashi),,No,No
Q105080,,,No,No
Q105082,,,No,No
Q105084,,,No,No
Q105086,,,No,No
Q105088,,,No,No
Q105090,,,No,No
Q105092,,,No,No
Q105094,,,No,No
Q105096,,,No,No
Q105098,,,No,No
Q10510,Yuan Zong Xian,,No,No
Q105100,,,No,No
Q105102,,,No,No
Q105104,,,No,No
Q105106,,,No,No
Q105108,,,No,No
Q10511,Yuan Zi Chang,,No,No
Q105110,,,No,No
Q105112,,,No,No
Q105114,,,No,No
Q105116,,,No,No
Q105118,,,No,No
Q10512,Gao Jie Tai Zhong Noniang  (teng Yuan Ji Zhong Noqi *qie ),,No,No
Q105120,,,No,No
Q105122,,,No,No
Q105124,,,No,No
Q105126,,,No,No
Q105128,,,No,No
Q10513,Teng Yuan Ji Zhong Noniang  (yuan Xing Zong Noqi ),,No,No
Q105130,,,No,No
Q105132,,,No,No
Q105134,,,No,No
Q105136,,,No,No
Q105138,,,No,No
Q10514,Teng Yuan Shi Ming,,No,No
Q105140,,,No,No
Q105142,,,No,No
Q105144,,,No,No
Q105146,,,No,No
Q105148,,,No,No
Q10515,Teng Yuan Zhong Guang  (tai Huang Tai Hou Gong Da Jin ),,No,No
Q105150,,,No,No
Q105152,,,No,No
Q105154,,,No,No
Q105156,,,No,No
Q105158,,,No,No
Q105160,,,No,No
Q105162,,,No,No
Q105164,,,No,No
Q105166,,,No,No
Q105168,,,No,No
Q105170,,,No,No
Q105172,,,No,No
Q105174,,,No,No
Q105176,,,No,No
Q105178,,,No,No
Q105180,,,No,No
Q105182,,,No,No
Q105184,,,No,No
Q105186,,,No,No
Q105188,,,No,No
Q105190,,,No,No
Q105192,,,No,No
Q105194,,,No,No
Q105196,,,No,No
Q105198,,,No,No
Q10520,Teng Yuan Shi Zheng Noniang  (teng Yuan You Xin Qi ),,No,No
Q105200,,,No,No
Q105202,,,No,No
Q105204,,,No,No
Q105206,,,No,No
Q105208,,,No,No
Q10521,Teng Yuan Shi Zheng Nu  (teng Yuan Gong Shi Shi ),,No,No
Q105210,,,No,No
Q105212,,,No,No
Q105214,,,No,No
Q105216,,,No,No
Q105218,,,No,No
Q10522,Teng Yuan Dun Zong,,No,No
Q105220,,,No,No
Q105222,,,No,No
Q105224,,,No,No
Q105226,,,No,No
Q105228,,,No,No
Q105230,,,No,No
Q105232,,,No,No
Q105234,,,No,No
Q105236,,,No,No
Q105238,,,No,No
Q105240,,,No,No
Q105242,,,No,No
Q105244,,,No,No
Q105246,,,No,No
Q105248,,,No,No
Q105250,,,No,No
Q105252,,,No,No
Q105254,,,No,No
Q105256,,,No,No
Q105258,,,No,No
Q10526,Jian Ye Dun Lai Noniang  (teng Yuan Bao Jia Noqi ),,No,No
Q105260,,,No,No
Q105262,,,No,No
Q105264,,,No,No
Q105266,,,No,No
Q105268,,,No,No
Q105270,,,No,No
Q105272,,,No,No
Q105274,,,No,No
Q105276,,,No,No
Q105278,,,No,No
Q105280,,,No,No
Q105282,,,No,No
Q105284,,,No,No
Q105286,,,No,No
Q105288,,,No,No
Q10529,Yuan Jun Shi,,No,No
Q105290,,,No,No
Q105292,,,No,No
Q105294,,,No,No
Q105296,,,No,No
Q105298,,,No,No
Q105300,,,No,No
Q105302,,,No,No
Q105304,,,No,No
Q105306,,,No,No
Q105308,,,No,No
Q105310,,,No,No
Q105312,,,No,No
Q105314,,,No,No
Q105316,,,No,No
Q105318,,,No,No
Q10532,Yuan Jun Ming Noniang  (teng Yuan Zhong Jiao Ji Shi ),,No,No
Q105320,,,No,No
Q105322,,,No,No
Q105324,,,No,No
Q105326,,,No,No
Q105328,,,No,No
Q10533,Yuan You Long,,No,No
Q105330,,,No,No
Q105332,,,No,No
Q105334,,,No,No
Q105336,,,No,No
Q105338,,,No,No
Q105340,,,No,No
Q105342,,,No,No
Q105344,,,No,No
Q105346,,,No,No
Q105348,,,No,No
Q10535,Yuan Guo Fang,,No,No
Q105350,,,No,No
Q105352,,,No,No
Q105354,,,No,No
Q105356,,,No,No
Q105358,,,No,No
Q10536,Zhen Zhu,,No,No
Q105360,,,No,No
Q105362,,,No,No
Q105364,,,No,No
Q105366,,,No,No
Q105368,,,No,No
Q105370,,,No,No
Q105372,,,No,No
Q105374,,,No,No
Q105376,,,No,No
Q105378,,,No,No
Q105380,,,No,No
Q105382,,,No,No
Q105384,,,No,No
Q105386,,,No,No
Q105388,,,No,No
Q10539,Teng Yuan Zong Ji,,No,No
Q105390,,,No,No
Q105392,,,No,No
Q105394,,,No,No
Q105396,,,No,No
Q105398,,,No,No
Q10540,Teng Yuan Ji Fang Noniang  (teng Yuan Zhong Jun Noqi ),,No,No
Q105400,,,No,No
Q105402,,,No,No
Q105404,,,No,No
Q105406,,,No,No
Q105408,,,No,No
Q10541,Teng Yuan Zhong Jun Noniang  (yuan Shi Lai Noqi ),,No,No
Q105410,,,No,No
Q105412,,,No,No
Q105414,,,No,No
Q105416,,,No,No
Q105418,,,No,No
Q10542,Jian Yuan Wei Li,,No,No
Q105420,,,No,No
Q105422,,,No,No
Q105424,,,No,No
Q105426,,,No,No
Q105428,,,No,No
Q10543,Zhong Yuan Ji Cheng Noniang  (teng Yuan Dun Ji Noqi ),,No,No
Q105430,,,No,No
Q105432,,,No,No
Q105434,,,No,No
Q105436,,,No,No
Q105438,,,No,No
Q10544,Teng Yuan Ling Ming,,No,No
Q105440,,,No,No
Q105442,,,No,No
Q105444,,,No,No
Q105446,,,No,No
Q105448,,,No,No
Q10545,Shang Ye Jie Teng Yuan Dun Ji Niang  (yuan Yi Guo Shi ),,No,No
Q105450,,,No,No
Q105452,,,No,No
Q105454,,,No,No
Q105456,,,No,No
Q105458,,,No,No
Q10546,Teng Yuan Mao Ming,,No,No
Q105460,,,No,No
Q105462,,,No,No
Q105464,,,No,No
Q105466,,,No,No
Q105468,,,No,No
Q10547,Teng Yuan You Guang,,No,No
Q105470,,,No,No
Q105472,,,No,No
Q105474,,,No,No
Q105476,,,No,No
Q105478,,,No,No
Q105480,,,No,No
Q105482,,,No,No
Q105484,,,No,No
Q105486,,,No,No
Q105488,,,No,No
Q10549,Teng Yuan Cheng Guang,,No,No
Q105490,,,No,No
Q105492,,,No,No
Q105494,,,No,No
Q105496,,,No,No
Q105498,,,No,No
Q10550,Yuan Chuan,,No,No
Q105500,,,No,No
Q105502,,,No,No
Q105504,,,No,No
Q105506,,,No,No
Q105508,,,No,No
Q10551,Teng Yuan Yi Zhong Noniang  (gao Jie Wei Jia Shi ),,No,No
Q105510,,,No,No
Q105512,,,No,No
Q105514,,,No,No
Q105516,,,No,No
Q105518,,,No,No
Q10552,Teng Yuan Gong Yi,,No,No
Q105520,,,No,No
Q105522,,,No,No
Q105524,,,No,No
Q105527,,,No,No
Q105529,,,No,No
Q10553,Ping Jing Fang,,No,No
Q105531,,,No,No
Q105533,,,No,No
Q105535,,,No,No
Q105537,,,No,No
Q105539,,,No,No
Q105541,,,No,No
Q105543,,,No,No
Q105545,,,No,No
Q105547,,,No,No
Q105549,,,No,No
Q10555,Ping Ding Jia,,No,No
Q105551,,,No,No
Q105553,,,No,No
Q105557,,,No,No
Q105559,,,No,No
Q10556,Hai Shang Chang Heng,,No,No
Q105561,,,No,No
Q105563,,,No,No
Q105565,,,No,No
Q105567,,,No,No
Q105569,,,No,No
Q105571,,,No,No
Q105573,,,No,No
Q105575,,,No,No
Q105577,,,No,No
Q105579,,,No,No
Q105581,,,No,No
Q105583,,,No,No
Q105585,,,No,No
Q105587,,,No,No
Q105589,,,No,No
Q10559,Ping Chang Cheng,,No,No
Q105591,,,No,No
Q105593,,,No,No
Q105595,,,No,No
Q105597,,,No,No
Q105599,,,No,No
Q10560,Zhi Fu Xing Zhong,,No,No
Q105601,,,No,No
Q105603,,,No,No
Q105605,,,No,No
Q105607,,,No,No
Q105609,,,No,No
Q10561,Er Yu Bao Yi,,No,No
Q105611,,,No,No
Q105613,,,No,No
