# Entities lacking both identifiers and family relationships
qid,english_label,english_description,has_p39_no_identifiers,has_p39_no_relatives
Q16639,Fang He Cheng Gao,,No,No
Q1664,Mandan Bordzhigin,,No,No
Q16640,Daughter of Utsunomiya Mochitsuna (wife of Haga Shigetaka),,No,No
Q16641,Daughter of Uesugi Fusaaki (second wife of Utsunomiya Masatsuna),,No,No
Q16642,Wu Mao Jian Gang,,No,No
Q16645,Jie Cheng Zheng Zhao,,No,No
Q16646,Nan Lu Yuan,,No,No
Q16648,Yūki Tomokatsu,,No,No
Q16649,Yi Zi Sheng Qing,,No,No
Q16651,Daughter of Mariya Nobukatsu (wife of Yanada Masasuke),,No,No
Q16652,Yanada Mochisuke (Azuchi-Momoyama period),,No,No
Q16658,Xiao Li Yuan Chi Qing,,No,No
Q16659,Xiao Li Yuan Shang Qing,,No,No
Q1666,Wikramawardhana (Maharaja Empayar Majapahit) Bhre Mataram,,No,No
Q16660,Ōta Sukeyasu,,No,No
Q16661,Ōta Kagesuke,,No,No
Q16662,Hosshōin,,No,No
Q16663,Ōta Shigemasa,,No,No
Q16664,Fu Dao Zheng Cheng,,No,No
Q16665,Hōjō Tsunafusa,,No,No
Q16666,Jokoin-den (wife of Toyama Hayatosa),,No,No
Q16667,Ji Liang Cheng Gao,,No,No
Q16669,Lai Ming Xin Hui,,No,No
Q1667,Togrul Bordzhigin,,No,No
Q16670,Wu Tian Yuan Guang Noniang  (jiu Wo Qing Tong Nozheng Shi ),,No,No
Q16671,daughter of Kamoi Hideaki (wife of Kuga Harumichi),,No,No
Q16673,Yan Cang Ju Yao,,No,No
Q16674,Jiu Wo San Xiu,,No,No
Q16675,daughter of Kuga Harumichi (wife of Konoe Masahisa and Kita no Mandokoro),,No,No
Q16676,Zuikoin (wife of Saionji Saneki),,No,No
Q16677,Xing Chun Yuan,,No,No
Q16678,Nai Duo Zhi Ji,,No,No
Q16679,You Qing,,No,No
Q16680,Jiu Wo Qing Zi,,No,No
Q16682,daughter of Konoe Taneie (wife of Ashikaga Yoshiteru),,No,No
Q16683,Daughter of Konoe Taneie (second wife of Asakura Yoshikage),,No,No
Q16684,Tani Jiang Yuan,,No,No
Q16685,Da Yang Yuan,,No,No
Q16686,Dōchō,,No,No
Q1669,Bhre Daha (Putri Bhre Wirabumi) Putri Bhre Wirabhumi,,No,No
Q16690,Ōura Mitsunobu,,No,No
Q16691,Da Pu A Jiu,,No,No
Q16693,Daughter of Tokudaiji Saneatsu (wife of Kuga Michimoto),,No,No
Q16695,Ban Bu Gang Jiang Xue Zhai,,No,No
Q16697,Zheng Mu Shi Tong,,No,No
Q16698,Toyama Naokage (Tanba no Kami),,No,No
Q16706,Nezugoryōnin,,No,No
Q16709,Sanjō Kinyori,,No,No
Q1671,Singawardhana Dyah Sumana,,No,No
Q16710,Kyōkōin Nyoshunni,,No,No
Q16719,Dong Noju,,No,No
Q1672,Bartan Bordzhigin,,No,No
Q16721,Qian Xie Jun Yin,,No,No
Q16722,Ōishi Sadashige,,No,No
