id,label_en,translation
Q146500,Iorwerth ap Llywelyn Ddû ab Einion Fychan ap Cadwgan of Ystrad Cy,Iorwerth ap Llywelyn Ddû son of Einion Fychan ap Cadwgan of Ystrad Cy
Q146501,Jonet ferch Robert ap Bleddyn ap Robert,Jonet ferch Robert son of Bleddyn son of Robert
Q146502,Cynwrig ap Rotpert,Cynwrig son of Rotpert
Q146503,Bleddyn ap Gruffudd ap Gronwy Sais ap Rhys,Bleddyn son of Gruffudd son of Gronwy Sais son of Rhys
Q146656,Richard Fitz Pons,Richard son of Pons
Q146657,Maude fitz Walter,Maude son of Walter
Q146660,Osbern fitz Hugh,Osbern son of Hugh
Q146834,Roger fitz Gerold,Roger son of Gerold
Q146901,Maud fitz Robert,Maud son of Robert
Q147022,Dyfnwal ab Owain,Dyfnwal son of Owain
Q147023,Owain ap Dyfnwal,Owain son of Dyfnwal
Q147024,Rhydderch ap Dyfnwal,Rhydderch son of Dyfnwal
Q147032,Dolfin fitz Uchtred,Dolfin son of Uchtred
Q147089,"Theobald I, Count of Bar","Theobald I, Count of son of"
Q147342,Milo III of Bar-sur-Seine,Milo III of son of-sur-Seine
Q147343,Walter de Bar,Walter de son of
Q147344,William de Bar,William de son of
Q147345,"Peronelle, Comtesse de Bar","Peronelle, Comtesse de son of"
Q147747,Rhun ab Arthgal,Rhun son of Arthgal
Q148286,Meilir Eryr Gwrgorseddog ap Tudau ap Tyfoedd ap Gwylfyw ap Marchu,Meilir Eryr Gwrgorseddog son of Tudau son of Tyfoedd son of Gwylfyw son of Marchu
Q148287,Mwyntrych ab Yspwys ap Carcludws as Cyngu,Mwyntrych son of Yspwys ap Carcludws as Cyngu
Q148361,Hoedlyw ab Ithel ab Edryd ab Inethan,Hoedlyw son of Ithel son of Edryd son of Inethan
Q148362,Llywelyn ap Cadwallon ap Hywel ab Owain Gwynedd,Llywelyn ap Cadwallon ap Hywel son of Owain Gwynedd
