id,label_en,translation
Q70563,后稷 (Hòu Jì),Hòu Jì
Q70566,帝摯 (Dì Zhì),Dì Zhì
Q70572,契 (Qì),Qì
Q70581,不窋 (Bù Zhú),Bù Zhú
Q70584,丹朱 (Dān Zhū),Dān Zhū
Q70593,昭明 (Zhāo Míng),Zhāo Míng
Q70602,姬鞠 (Jī Jū),Jī Jū
Q70605,相土 (Xiāng Tǔ),Xiāng Tǔ
Q70620,公劉 (Gōng Liú),Gōng Liú
Q70623,昌若 (Chāng Ruò),Chāng Ruò
Q70638,天文 (Tiān Wén),Tiān Wén
Q70641,慶節 (Qìng Jié),Qìng Jié
Q70644,曹圉 (Cáo Yǔ),Cáo Yǔ
Q70662,丁人 (Dīng Rén),Dīng Rén
Q70677,正田 (Zhèng Tián),Zhèng Tián
Q70728,來發 (Lái Fā),Lái Fā
Q70758,亞儉 (Yà Jiǎn),Yà Jiǎn
Q70842,進國 (Jìn Guó),Jìn Guó
Q70884,任養 (Rèn Yǎng),Rèn Yǎng
Q70939,龍雲 (Lóng Yún),Lóng Yún
Q70984,只得 (Zhǐ Dé),Zhǐ Dé
Q71021,三多 (Sān Duō),Sān Duō
Q71061,古未 (Gǔ Wèi),Gǔ Wèi
Q71124,齊伯 (Qí Bó),Qí Bó
Q71157,華正 (Huá Zhèng),Huá Zhèng
Q71199,二中 (Èr Zhōng),Èr Zhōng
Q71250,勝男 (Shèng Nán),Shèng Nán
Q71289,家慶 (Jiā Qìng),Jiā Qìng
Q71341,守信 (Shǒu Xìn),Shǒu Xìn
Q71344,守義 (Shǒu Yì),Shǒu Yì
Q71383,高金 (Gāo Jīn),Gāo Jīn
Q71386,登榮 (Dēng Róng),Dēng Róng
Q71434,花三 (Huā Sān),Huā Sān
Q71437,木秀 (Mù Xiù),Mù Xiù
Q71479,羅生 (Luó Shēng),Luó Shēng
Q71482,發貴 (Fā Guì),Fā Guì
Q71485,爲文 (Wèi Wén),Wèi Wén
Q71488,傳東 (Chuán Dōng),Chuán Dōng
Q71494,廣田 (Guǎng Tián),Guǎng Tián
Q71542,心爲 (Xīn Wèi),Xīn Wèi
Q71545,康有 (Kāng Yǒu),Kāng Yǒu
Q71593,多分 (Duō Fēn),Duō Fēn
Q71596,多有 (Duō Yǒu),Duō Yǒu
Q71644,子文 (Zi Wén),Zi Wén
Q71650,子土 (Zi Tǔ),Zi Tǔ
Q71698,亞假 (Yà Jiǎ),Yà Jiǎ
Q71701,亞今 (Yà Jīn),Yà Jīn
Q71753,福任 (Fú Rèn),Fú Rèn
Q71756,亍寵 (Chù Chǒng),Chù Chǒng
Q71759,保華 (Bǎo Huá),Bǎo Huá
Q71796,Yú (Xī) 餘(希)  Zhāng 張,Xī
Q71802,仁才 (Rén Cái),Rén Cái
Q71808,仁發 (Rén Fā),Rén Fā
Q71844,Zuān (Suì) 躦(燧)  Zhāng 張,Suì
Q71850,有國 (Yǒu Guó),Yǒu Guó
Q71859,進林 (Jìn Lín),Jìn Lín
Q71862,福山 (Fú Shān),Fú Shān
Q71901,余慶 (Yú Qìng),Yú Qìng
Q71910,金郁 (Jīn Yù),Jīn Yù
Q71913,穗明 (Suì Míng),Suì Míng
Q71958,仕幸 (Shì Xìng),Shì Xìng
Q71964,仕水 (Shì Shuǐ),Shì Shuǐ
Q71967,仕章 (Shì Zhāng),Shì Zhāng
Q72000,宏權 (Hóng Quán),Hóng Quán
Q72040,榮華 (Róng Huá),Róng Huá
Q72043,光保 (Guāng Bǎo),Guāng Bǎo
Q72094,亞連 (Yà Lián),Yà Lián
Q72097,春慶 (Chūn Qìng),Chūn Qìng
Q72100,木養 (Mù Yǎng),Mù Yǎng
Q72160,振興 (Zhèn Xīng),Zhèn Xīng
Q72172,振林 (Zhèn Lín),Zhèn Lín
Q72229,天榮 (Tiān Róng),Tiān Róng
Q72232,西保 (Xī Bǎo),Xī Bǎo
Q72235,日養 (Rì Yǎng),Rì Yǎng
Q72238,亞春 (Yà Chūn),Yà Chūn
Q72313,譚國 (Tán Guó),Tán Guó
Q72316,華正 (Huá Zhèng),Huá Zhèng
Q72319,木仁 (Mù Rén),Mù Rén
Q72427,來貴 (Lái Guì),Lái Guì
Q72482,有發 (Yǒu Fā),Yǒu Fā
Q72485,有能 (Yǒu Néng),Yǒu Néng
Q72491,有德 (Yǒu Dé)  姬,Yǒu Dé
Q72537,四達 (Sì Dá),Sì Dá
Q72540,四丙 (Sì Bǐng),Sì Bǐng
Q72544,四餘 (Sì Yú)  姬,Sì Yú
Q72607,季生 (Jì Shēng)  姬,Jì Shēng
Q72664,平東 (Píng Dōng),Píng Dōng
Q72667,平西 (Píng Xī),Píng Xī
Q72670,平北 (Píng Běi),Píng Běi
Q72748,員安 (Yuán ān),Yuán ān
Q72751,員有 (Yuán Yǒu),Yuán Yǒu
Q72754,員餘 (Yuán Yú)  姬,Yuán Yú
Q72872,Tong (Gu) Gong 同(固)公  Lǐ 李,Gu
Q72878,日華 (Rì Huá),Rì Huá
Q72881,日興 (Rì Xìng),Rì Xìng
Q73001,月機 (Yuè Jī),Yuè Jī
Q73004,月觀 (Yuè Guān),Yuè Guān
Q73010,月可 (Yuè Kě)  姬,Yuè Kě
